Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
25 JANE DEANS CLOSE ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,785,270,1990,950,3-Sep-24,7,False,"$1,650,000","$1,020,000"
2/19 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,950,22-Jul-24,7,False,"$965,000","$465,000"
88 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,3,2,196,209,2006,925,20-Aug-24,7,False,"$830,000","$380,000"
114 CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,-,291,114,1990,900,2-Aug-24,7,False,"$660,000","$360,000"
1/49 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,5,2,-,253,142,1970,900,26-Jul-24,7,False,"$590,000","$340,000"
61 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,587,198,1920,890,26-Sep-24,7,False,"$1,180,000","$990,000"
2/40 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,3,3,72,254,180,2023,850,6-Aug-24,7,False,"$1,220,000","$570,000"
93 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,1,-,134,1920,850,5-Jul-24,7,False,"$660,000","$530,000"
9 OAKFORD CLOSE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,850,11-Jun-24,14,False,"$720,000","$360,000"
2/85 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,3,1,174,140,2021,800,8-May-24,7,False,"$760,000","$380,000"
138B CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,-,100,1980,800,7-Sep-24,7,False,"$550,000","$305,000"
3/18 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,-,152,2017,800,14-Nov-24,22,True,"$860,000","$465,000"
1/40 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,3,3,2,214,180,2023,800,23-May-24,29,False,"$1,220,000","$570,000"
5/49 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,5,2,-,186,120,2015,790,25-Mar-24,22,False,"$650,000","$290,000"
1/35 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,5,1,-,-,120,1990,780,2-Aug-24,7,False,"$510,000","$315,000"
1/69 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,5,3,3,766,240,1960,780,17-Jul-24,7,False,-,-
9/77 DEANS AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,3,1,136,87,2024,760,20-Oct-24,7,False,"$830,000","$310,000"
1/30 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,-,144,1915,760,4-Oct-24,7,False,"$650,000","$540,000"
46D DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,4,2,2,625,170,2000,750,4-Jan-24,7,False,"$810,000","$380,000"
4/18 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,130,120,2024,750,22-Oct-24,7,False,"$760,000","$255,000"
44C KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,112,146,2024,750,25-Jul-24,7,False,"$960,000","$460,000"
1/43 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,2,-,91,1970,745,12-Sep-24,8,False,"$370,000","$300,000"
89 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,404,107,1920,740,4-Sep-24,21,False,"$620,000","$550,000"
1/33 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,3,3,2,168,135,2016,730,11-Oct-24,7,False,"$820,000","$305,000"
2/16 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,113,92,2014,720,20-Jul-24,7,False,"$610,000","$255,000"
90A MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,199,169,2000,720,8-Jan-24,7,False,"$700,000","$325,000"
14A AYR STREET ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,161,152,2020,700,10-Jan-24,7,False,"$1,150,000","$540,000"
3/15 AYR STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,700,8-Oct-24,7,False,"$730,000","$360,000"
5/27 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,97,1975,700,18-Jul-24,139,False,"$570,000","$280,000"
30E LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8041,3,2,1,-,142,2006,700,1-Apr-24,32,False,"$710,000","$305,000"
8A MONA VALE AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,193,1990,700,8-May-24,7,False,"$920,000","$760,000"
44A PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,3,1,207,156,2022,700,19-Dec-23,5,False,"$840,000","$330,000"
2/49 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,4,1,-,132,98,1973,700,26-Jul-24,7,False,"$465,000","$265,000"
3/49 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,4,1,-,133,98,1973,700,26-Jul-24,7,False,"$465,000","$265,000"
4/49 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,4,1,-,138,98,1973,700,26-Jul-24,7,False,"$465,000","$265,000"
5/15 AYR STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,690,25-Oct-24,7,False,"$720,000","$390,000"
9 BARTLETT STREET ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,308,231,2015,680,21-Nov-24,91,True,"$1,300,000","$490,000"
1/40 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,3,1,228,140,2016,680,19-Feb-24,7,False,"$730,000","$360,000"
15A BURDALE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,219,174,2000,680,17-May-24,18,False,"$840,000","$340,000"
2/33 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,3,2,2,162,135,2016,680,15-Aug-24,7,False,"$820,000","$305,000"
49 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,181,135,2000,680,14-Jun-24,7,False,"$620,000","$270,000"
2/15 AYR STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,675,8-Apr-24,14,False,"$750,000","$360,000"
31C DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,235,149,2000,675,11-Jan-24,7,False,"$820,000","$520,000"
44D KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,169,125,2024,675,9-Apr-24,26,False,"$950,000","$520,000"
5/67 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,150,1990,670,18-Jun-24,7,False,"$510,000","$255,000"
1/91 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,110,1920,670,16-Jul-24,7,False,"$460,000","$405,000"
44C PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,3,1,159,145,2022,670,23-Sep-24,7,False,"$780,000","$300,000"
3/67 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,-,150,1990,660,10-Nov-24,35,True,"$510,000","$255,000"
37 LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8041,2,1,2,-,170,1920,660,15-Jul-24,7,False,"$630,000","$580,000"
95 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,180,1990,660,19-Sep-24,7,False,"$760,000","$520,000"
13/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,59,132,2023,650,10-Jan-24,15,False,"$750,000","$180,000"
19 BARTLETT STREET ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,569,172,1920,650,2-May-24,7,False,"$1,000,000","$690,000"
7/4 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,180,1990,650,30-Jan-24,7,False,"$770,000","$370,000"
20 BURDALE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,187,149,2005,650,4-Dec-24,2,True,"$730,000","$325,000"
5/33 DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,87,2017,650,3-Dec-24,3,True,"$830,000","$560,000"
11A LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,138,132,2010,650,9-Oct-24,7,False,"$670,000","$315,000"
72 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,256,120,1990,650,13-Feb-24,7,False,"$620,000","$305,000"
46B PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,4,1,172,139,2022,650,18-Sep-24,33,False,"$770,000","$280,000"
46C PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,4,1,156,139,2022,650,11-Sep-24,7,False,"$780,000","$290,000"
18/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,64,127,2023,645,15-Jul-24,22,False,"$730,000","$180,000"
5/4 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,180,1990,645,21-Oct-24,21,False,"$740,000","$335,000"
12/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,59,127,2023,640,14-Apr-24,7,False,"$730,000","$180,000"
15/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,59,132,2023,640,19-Aug-24,15,False,"$750,000","$180,000"
16/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,76,127,2023,640,7-Aug-24,7,False,"$740,000","$190,000"
2/38 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,105,2005,640,3-Sep-24,7,False,"$550,000","$280,000"
4/86 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,1,1,-,170,1995,635,8-Jul-24,19,False,"$630,000","$235,000"
118A BLENHEIM ROAD ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,110,97,2021,630,5-Aug-24,68,False,"$790,000","$325,000"
118B BLENHEIM ROAD ,"RICCARTON, CHRISTCHURCH",8041,3,2,1,90,96,2021,630,26-Feb-24,7,False,"$780,000","$305,000"
80C BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,191,126,2000,630,16-Oct-24,7,False,"$610,000","$340,000"
37 DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,728,150,1920,630,20-Oct-24,7,False,"$1,505,000","$1,370,000"
11B ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,229,90,1990,630,11-Nov-24,69,True,"$520,000","$315,000"
2/37 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,-,134,2000,630,22-Nov-24,14,True,"$690,000","$305,000"
1/77 DEANS AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,108,75,2024,625,6-Jun-24,7,False,"$790,000","$300,000"
105B DEANS AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,447,137,2000,625,1-Feb-24,7,False,"$650,000","$370,000"
1 KYLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,188,130,1990,625,3-May-24,7,False,"$685,000","$350,000"
10/333 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,3,3,1,59,127,2023,620,20-Sep-24,7,False,"$730,000","$180,000"
4/67 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,150,1990,620,6-Feb-24,7,False,"$510,000","$255,000"
9B HARAKEKE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,-,110,1930,620,5-Aug-24,7,False,"$700,000","$450,000"
1/35 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,-,130,1990,620,7-Aug-24,7,False,"$650,000","$350,000"
17B PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,225,85,2005,620,29-Aug-24,49,False,"$620,000","$305,000"
3/40C PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,620,28-Sep-24,19,False,"$600,000","$300,000"
2/329 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,64,72,2023,610,29-Apr-24,12,False,"$610,000","$180,000"
113C CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,178,120,2005,610,11-Dec-23,56,False,"$640,000","$320,000"
1/70 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,-,153,2005,610,13-Nov-24,23,True,"$640,000","$335,000"
5/19 LONGLEY PLACE ,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,100,1990,600,3-Dec-24,3,True,"$530,000","$255,000"
10 BARTLETT STREET ,"RICCARTON, CHRISTCHURCH",8011,5,1,1,559,120,1930,600,26-Jul-24,7,False,"$700,000","$640,000"
2/43 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,-,91,1970,600,6-Mar-24,7,False,"$390,000","$280,000"
56D BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,188,178,2008,600,22-Oct-24,7,False,"$680,000","$340,000"
1/78 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,140,1990,600,8-Nov-24,28,True,"$660,000","$350,000"
8/77 DEANS AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,85,74,2024,600,19-Oct-24,8,False,"$750,000","$280,000"
1/104 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,349,194,1960,600,31-Oct-24,7,False,"$680,000","$425,000"
2/25 MATAI STREET WEST ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,76,78,2024,600,16-Aug-24,22,False,"$690,000","$260,000"
13/25 MATAI STREET WEST ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,112,80,2024,600,13-Jul-24,8,False,"$770,000","$340,000"
2/34 MONA VALE AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,97,1995,600,12-Aug-24,24,False,"$600,000","$330,000"
7 OAKFORD CLOSE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,130,1990,600,1-Feb-24,7,False,"$580,000","$335,000"
2/90 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,-,120,1990,600,3-Jan-24,7,False,"$580,000","$280,000"
4/18 BURDALE STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,98,1990,599,17-Feb-24,7,False,"$580,000","$325,000"
17D DICKENS STREET ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,120,99,2022,595,25-Nov-24,31,True,"$660,000","$165,000"
15 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,5,1,4,809,620,1990,595,19-Nov-24,46,True,"$1,770,000","$1,020,000"
4/43 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,-,110,1970,595,6-Feb-24,7,False,"$380,000","$280,000"
76 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,302,140,1990,595,6-Feb-24,7,False,"$630,000","$325,000"
4/317 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,59,111,2023,590,19-Mar-24,7,False,"$680,000","$180,000"
6/317 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,59,111,2023,590,1-Oct-24,7,False,"$680,000","$180,000"
1/317 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,74,111,2023,580,3-Dec-24,3,True,"$680,000","$190,000"
3/46 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,110,1980,580,1-Apr-24,7,False,"$520,000","$300,000"
55B BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,117,88,2010,580,15-Oct-24,7,False,"$520,000","$290,000"
55D BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,309,88,2010,580,4-Nov-24,7,False,"$530,000","$305,000"
4/63 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,118,2006,580,16-Oct-24,7,False,"$550,000","$240,000"
113A CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,159,122,2005,580,18-Apr-24,15,False,"$620,000","$320,000"
9/27 DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,-,100,1980,580,29-Sep-24,7,False,"$670,000","$345,000"
75C DEANS AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,-,154,1995,580,29-Aug-24,7,False,"$660,000","$480,000"
2/58 DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,1,123,99,2023,580,4-Oct-24,7,False,"$710,000","$260,000"
3/58 DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,1,125,100,2023,580,9-Aug-24,74,False,"$710,000","$260,000"
29 MAYFAIR STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,250,1910,580,19-Dec-23,8,False,"$650,000","$580,000"
50B WHITELEIGH AVENUE ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,137,99,2024,575,1-Nov-24,122,False,"$540,000","$160,000"
50C WHITELEIGH AVENUE ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,140,99,2024,575,18-Sep-24,78,False,"$540,000","$160,000"
5/64 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,4,115,74,2020,575,1-Oct-24,7,False,"$640,000","$305,000"
2/32 MONA VALE AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,68,1970,575,20-May-24,21,False,"$530,000","$375,000"
6/331 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,83,73,2023,570,19-Apr-24,7,False,"$610,000","$190,000"
1/89 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,-,122,1990,570,8-Dec-23,7,False,"$500,000","$290,000"
3/6 DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,80,80,2020,570,9-Aug-24,7,False,"$640,000","$205,000"
24D HARAKEKE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,-,130,1960,570,1-Nov-24,8,False,"$640,000","$495,000"
3/25 MATAI STREET WEST ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,76,79,2024,570,2-Dec-24,59,True,"$690,000","$260,000"
37 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,4,2,4,645,270,2000,570,20-Nov-24,52,True,"$1,250,000","$790,000"
5/8 RICCARTON ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,89,77,2020,570,19-Sep-24,6,False,"$640,000","$205,000"
3/16 HARAKEKE STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,122,77,2022,565,1-Mar-24,21,False,"$700,000","$390,000"
1/45 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,2,1,1,-,70,1960,565,3-Dec-24,3,True,"$455,000","$325,000"
7/62 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,100,1970,565,4-Nov-24,35,False,"$415,000","$280,000"
4/12 ROTHERHAM STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,1,109,79,2024,565,2-Nov-24,13,False,"$670,000","$230,000"
2/317 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,59,111,2023,560,15-Oct-24,28,False,"$680,000","$180,000"
3/43 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,-,110,1970,560,22-Jan-24,11,False,"$415,000","$280,000"
4/58 DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,1,124,94,2023,560,28-Dec-23,15,False,"$710,000","$260,000"
2/64 DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,-,180,1990,560,8-Jan-24,69,False,"$820,000","$430,000"
3/31 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,100,1960,560,3-Jul-24,17,False,"$600,000","$435,000"
4/6 RICCARTON ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,76,76,2020,560,26-Nov-24,10,True,"$630,000","$200,000"
29A CLARENCE STREET SOUTH ,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,273,104,2013,550,26-Jun-24,10,False,"$560,000","$275,000"
4/2 LEAMINGTON STREET ,"ADDINGTON, CHRISTCHURCH",8024,3,1,2,-,140,1990,550,15-Feb-24,7,False,"$540,000","$215,000"
2/325 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,64,71,2023,550,12-Feb-24,15,False,"$610,000","$180,000"
5/327 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,82,73,2023,550,4-Oct-24,7,False,"$610,000","$190,000"
4/331 LINCOLN ROAD ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,63,71,2023,550,20-Feb-24,7,False,"$610,000","$180,000"
6/485 SELWYN STREET ,"CHRISTCHURCH CENTRAL, CHRISTCHURCH",8011,2,2,1,69,88,2021,550,29-Jul-24,54,False,"$730,000","$320,000"
6/19 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,190,72,2022,550,5-Jul-24,7,False,"$610,000","$270,000"
55A BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,129,88,2010,550,4-Mar-24,7,False,"$530,000","$305,000"
160 CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,546,110,1930,550,25-Jan-24,7,False,"$790,000","$760,000"
3/19 DILWORTH STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,107,70,2023,550,27-Feb-24,7,False,"$680,000","$265,000"
4/19 DILWORTH STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,163,70,2023,550,20-Aug-24,7,False,"$680,000","$265,000"
1 DIVISION STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,-,146,91,2020,550,8-Jul-24,7,False,"$750,000","$315,000"
1/8 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,80,1990,550,21-Mar-24,7,False,"$500,000","$335,000"
11/12 FREYBERG AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,77,78,2020,550,23-Feb-24,7,False,"$670,000","$260,000"
1/16 HARAKEKE STREET ,"RICCARTON, CHRISTCHURCH",8011,2,2,1,183,91,2022,550,2-Dec-24,23,True,"$770,000","$420,000"
2/20 LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,2,-,140,1990,550,16-May-24,7,False,"$640,000","$340,000"
3/36 LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8041,2,1,1,-,90,1990,550,22-Nov-24,14,True,"$540,000","$325,000"
5/26 MONA VALE AVENUE ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,80,1970,550,15-Dec-23,7,False,"$540,000","$405,000"
7/4 RICCARTON ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,87,87,2020,550,23-Nov-24,13,True,"$650,000","$205,000"
5/10 RICCARTON ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,80,78,2020,550,4-Oct-24,7,False,"$640,000","$205,000"
6/10 RICCARTON ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,-,80,78,2020,550,12-Apr-24,8,False,"$640,000","$205,000"
11A STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,90,1960,550,10-Apr-24,7,False,"$590,000","$465,000"
3/16 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,100,1970,549,22-Aug-24,7,False,"$590,000","$375,000"
5/9 CHATHAM STREET ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,147,68,2024,545,6-Mar-24,7,False,"$600,000","$150,000"
5/11 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8011,2,1,1,-,87,1970,545,15-Oct-24,29,False,"$495,000","$305,000"
2/9 CHATHAM STREET ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,19-Mar-24,8,False,"$590,000","$130,000"
3/9 CHATHAM STREET ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,13-Mar-24,8,False,"$590,000","$130,000"
4/9 CHATHAM STREET ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,6-Mar-24,7,False,"$590,000","$130,000"
35B CLARENCE STREET SOUTH ,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,119,74,2023,540,8-Jun-24,7,False,"$510,000","$130,000"
4 KENILWORTH STREET ,"ADDINGTON, CHRISTCHURCH",8024,3,1,1,145,161,2000,540,30-May-24,11,False,"$540,000","$160,000"
