Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value
36C FAIRFIELD AVENUE,"Addington, Christchurch",8024,2,1,1,208,101,2013,500,31/01/2024,7,FALSE,590000
4/73 FAIRFIELD AVENUE,"Addington, Christchurch",8024,2,1,1,511,70,1975,475,5/02/2024,7,TRUE,400000
1/4 GROVE ROAD,"Addington, Christchurch",8024,2,1,2,541,160,1970,515,16/08/2023,7,FALSE,650000
7 GROVE ROAD,"Addington, Christchurch",8024,2,1,2,637,139,1915,475,4/02/2024,7,FALSE,780000
1/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,128,70,2023,500,13/09/2023,20,FALSE,640000
2/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,13/09/2023,20,FALSE,630000
3/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,18/09/2023,7,FALSE,630000
4/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,16/10/2023,29,FALSE,630000
5/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,10/02/2023,15,FALSE,630000
7/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,79,70,2023,500,13/09/2023,20,FALSE,630000
10/9 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,85,70,2023,500,29/11/2023,7,FALSE,630000
1/16 GROVE ROAD,"Addington, Christchurch",8024,2,1,1,511,60,1970,430,6/02/2023,7,FALSE,390000
4/16 GROVE ROAD,"Addington, Christchurch",8024,2,1,1,511,60,1970,440,29/05/2023,7,FALSE,380000
2/19 GROVE ROAD,"Addington, Christchurch",8024,2,1,1,511,72,1980,500,11/09/2023,17,FALSE,390000
3/26 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,511,88,2023,565,12/04/2023,8,FALSE,570000
4/26 GROVE ROAD,"Addington, Christchurch",8024,2,2,1,511,90,2023,550,15/06/2023,10,FALSE,560000
1/24 HARMAN STREET,"Addington, Christchurch",8024,2,1,2,511,120,1990,480,24/07/2023,7,FALSE,520000
32A HARMAN STREET,"Addington, Christchurch",8024,2,1,1,223,90,2000,495,13/09/2023,7,FALSE,450000
36 HARMAN STREET,"Addington, Christchurch",8024,2,1,2,519,100,1950,520,30/04/2024,9,TRUE,540000
4/5 KIPLING STREET,"Addington, Christchurch",8024,2,1,1,511,100,1995,560,12/08/2023,15,FALSE,490000
3/27 KIPLING STREET,"Addington, Christchurch",8024,2,2,1,132,74,2023,520,1/05/2024,7,FALSE,650000
4/30 KIPLING STREET,"Addington, Christchurch",8024,2,1,1,511,80,1995,430,4/08/2024,35,FALSE,490000
5/30 KIPLING STREET,"Addington, Christchurch",8024,2,1,1,511,80,1995,480,8/02/2023,7,FALSE,490000
1/118 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,511,92,1970,440,30/04/2024,9,TRUE,360000
9/190 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,213,86,2010,510,19/01/2024,7,FALSE,475000
2/218 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,511,90,1990,450,14/09/2023,7,FALSE,475000
6/241 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,81,73,2021,450,18/10/2023,4,FALSE,610000
10/241 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,101,72,2021,257,23/04/2024,16,TRUE,610000
2/317 LINCOLN ROAD,"Addington, Christchurch",8024,2,1,1,59,111,2023,590,19/03/2024,7,FALSE,680000
4/317 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,59,111,2023,590,19/03/2024,7,FALSE,680000
9/317 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,131,110,2023,550,21/05/2023,8,FALSE,680000
2/321 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,96,72,2023,500,9/06/2023,7,FALSE,610000
2/325 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,64,71,2023,550,2/12/2024,15,FALSE,610000
3/325 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,64,72,2023,530,5/01/2024,8,TRUE,610000
1/327 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,86,73,2023,510,31/01/2024,22,FALSE,610000
4/327 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,64,72,2023,520,22/02/2024,15,FALSE,610000
2/329 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,64,72,2023,610,29/04/2024,21,TRUE,610000
4/329 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,64,72,2023,505,10/04/2023,7,FALSE,610000
2/331 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,63,71,2023,500,18/05/2023,31,FALSE,610000
4/331 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,63,71,2023,550,20/02/2024,7,FALSE,610000
6/331 LINCOLN ROAD,"Addington, Christchurch",8024,2,2,1,83,73,2023,570,19/04/2024,20,TRUE,610000
1/7 LINDORES STREET,"Addington, Christchurch",8024,2,2,1,127,74,2023,500,30/10/2023,21,FALSE,620000
13/7 LINDORES STREET,"Addington, Christchurch",8024,2,2,1,76,70,2023,520,22/02/2024,7,FALSE,610000
18/7 LINDORES STREET,"Addington, Christchurch",8024,2,2,1,124,73,2023,500,18/09/2023,7,FALSE,620000
10 MEREDITH STREET,"Addington, Christchurch",8024,2,3,1,194,118,2021,650,30/08/2023,3,FALSE,680000
12 MEREDITH STREET,"Addington, Christchurch",8024,2,3,1,161,118,2021,600,26/02/2024,6,FALSE,680000
2/14 MOULE STREET,"Addington, Christchurch",8024,2,1,1,148,75,2023,530,10/07/2023,7,FALSE,640000
4/14 MOULE STREET,"Addington, Christchurch",8024,2,1,1,153,76,2023,560,5/01/2024,8,TRUE,640000
15A PARLANE STREET,"Addington, Christchurch",8024,2,1,1,511,65,1960,450,17/04/2024,43,TRUE,425000
24A PARLANE STREET,"Addington, Christchurch",8024,2,1,1,163,71,2018,500,10/11/2023,7,FALSE,620000
95C POULSON STREET,"Addington, Christchurch",8024,2,2,1,126,100,2022,550,1/10/2024,7,FALSE,690000
6/96 POULSON STREET,"Addington, Christchurch",8024,2,1,1,511,70,1980,390,26/06/2023,7,FALSE,690000
97C POULSON STREET,"Addington, Christchurch",8024,2,2,1,126,100,2022,540,12/02/2023,8,FALSE,440000
30 RUSKIN STREET,"Addington, Christchurch",8024,2,2,1,138,77,2022,550,5/06/2024,3,TRUE,690000
5/72 RUSKIN STREET,"Addington, Christchurch",8024,2,2,1,163,84,2020,560,8/02/2023,7,FALSE,630000
2/76 RUSKIN STREET,"Addington, Christchurch",8024,2,1,1,511,90,1975,470,27/02/2024,7,FALSE,680000
5/100 RUSKIN STREET,"Addington, Christchurch",8024,2,2,1,67,68,2023,500,19/05/2023,36,FALSE,440000
4/102 RUSKIN STREET,"Addington, Christchurch",8024,2,2,1,88,68,2023,520,4/09/2024,37,FALSE,650000
2/104 RUSKIN STREET,"Addington, Christchurch",8024,2,2,1,64,68,2023,510,5/09/2023,11,FALSE,660000
3/108 RUSKIN STREET,"Addington, Christchurch",8024,2,1,1,511,68,1975,500,4/03/2024,7,FALSE,650000
117 RUSKIN STREET,"Addington, Christchurch",8024,2,2,2,683,199,2000,550,21/06/2023,8,FALSE,460000
4/329 SELWYN STREET,"Addington, Christchurch",8024,2,1,1,511,55,1960,420,20/06/2023,7,FALSE,990000
2/7 SPENCER STREET,"Addington, Christchurch",8024,2,2,1,55,90,2022,520,29/05/2023,7,FALSE,365000
3/7 SPENCER STREET,"Addington, Christchurch",8024,2,1,1,55,90,2022,560,11/07/2023,4,FALSE,710000
4/7 SPENCER STREET,"Addington, Christchurch",8024,2,2,1,55,90,2022,550,4/10/2024,29,TRUE,710000
14/7 SPENCER STREET,"Addington, Christchurch",8024,2,2,1,59,90,2022,570,20/07/2023,7,FALSE,710000
2/10 SPENCER STREET,"Addington, Christchurch",8024,2,1,1,511,70,1970,460,11/03/2023,7,FALSE,710000
16A SPENCER STREET,"Addington, Christchurch",8024,2,1,1,99,76,2021,570,26/09/2023,23,FALSE,470000
1/81 SPENCER STREET,"Addington, Christchurch",8024,2,1,1,511,100,1990,495,26/03/2024,15,FALSE,630000
5/81 SPENCER STREET,"Addington, Christchurch",8024,2,1,2,511,100,1990,495,24/10/2023,7,FALSE,550000
3/2 TARAMEA PLACE,"Addington, Christchurch",8024,2,2,1,69,89,2022,550,10/10/2023,7,FALSE,550000
3/4 TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,73,90,2022,570,19/04/2024,22,TRUE,660000
4/4 TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,101,60,2022,450,29/05/2023,7,FALSE,660000
3/6B TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,68,90,2022,550,29/08/2023,9,FALSE,550000
4/6B TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,131,95,2022,580,10/04/2023,6,FALSE,660000
5/8B TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,103,60,2022,580,13/09/2023,6,FALSE,660000
11/28 TARAMEA PLACE,"Addington, Christchurch",8024,2,1,1,511,74,1970,450,5/10/2023,12,FALSE,550000
3/45 WARD STREET,"Addington, Christchurch",8024,2,1,1,511,100,1995,450,1/10/2024,7,FALSE,360000
2/48 WARD STREET,"Addington, Christchurch",8024,2,1,1,91,80,2020,540,20/12/2023,7,FALSE,455000
4/48 WARD STREET,"Addington, Christchurch",8024,2,1,1,87,78,2020,545,5/07/2024,9,TRUE,640000
6/48 WARD STREET,"Addington, Christchurch",8024,2,1,1,87,78,2020,520,28/03/2024,5,FALSE,640000
11/48 WARD STREET,"Addington, Christchurch",8024,2,1,1,87,79,2020,480,10/09/2023,7,FALSE,640000
3/12 WHITELEIGH AVENUE,"Addington, Christchurch",8024,2,1,1,511,70,1960,530,15/05/2023,17,FALSE,640000
1/14 WHITELEIGH AVENUE,"Addington, Christchurch",8024,2,3,3,936,200,1966,380,15/03/2024,7,FALSE,340000
2/14 WHITELEIGH AVENUE,"Addington, Christchurch",8024,2,1,1,511,70,1960,380,21/12/2023,7,FALSE,650000
2 YORK TONG PLACE,"Addington, Christchurch",8024,2,1,1,511,100,1990,480,31/10/2023,7,FALSE,340000
6 YORK TONG PLACE,"Addington, Christchurch",8024,2,1,1,511,100,1990,440,6/06/2023,7,FALSE,530000
52 SOMERVILLE CRESCENT,"Aidanfield, Christchurch",8025,2,1,2,281,145,2010,600,6/06/2023,7,FALSE,530000
1/124 BREEZES ROAD,"Avondale, Christchurch",8061,2,1,2,782,240,1979,550,27/10/2023,15,FALSE,670000
2/9 ABBOTTS PLACE,"Avonhead, Christchurch",8042,2,1,1,511,60,1970,520,30/11/2023,7,FALSE,650000
61 APSLEY DRIVE,"Avonhead, Christchurch",8042,2,1,2,511,140,1980,530,28/11/2023,7,FALSE,475000
8A AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,1,1,511,83,1970,570,18/09/2023,7,FALSE,420000
17 AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,1,1,511,103,1970,540,5/06/2024,3,TRUE,660000
1/164 AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,1,1,511,70,1975,510,6/09/2023,7,FALSE,460000
1/165 AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,2,2,658,210,1970,425,24/07/2023,7,FALSE,510000
1/246 AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,2,2,610,230,1980,430,5/02/2024,7,TRUE,500000
2/339A AVONHEAD ROAD,"Avonhead, Christchurch",8042,2,1,1,511,87,1960,480,18/12/2023,7,FALSE,650000
2/5 BEATRICE PLACE,"Avonhead, Christchurch",8042,2,1,1,511,98,2017,485,7/06/2023,7,FALSE,650000
3/17 DELPH STREET,"Avonhead, Christchurch",8042,2,1,1,511,81,2018,550,20/09/2023,7,FALSE,530000
2/23 KENT LODGE AVENUE,"Avonhead, Christchurch",8042,2,1,1,511,80,1970,550,25/09/2023,7,FALSE,680000
2/4 KYEBURN PLACE,"Avonhead, Christchurch",8042,2,1,1,511,118,1970,440,19/12/2023,41,FALSE,610000
2/30A NORTONS ROAD,"Avonhead, Christchurch",8042,2,1,1,511,110,1975,540,19/04/2024,20,TRUE,480000
3/9 RACHEL PLACE,"Avonhead, Christchurch",8042,2,1,1,511,90,1970,480,20/10/2023,7,FALSE,540000
1/363 WITHELLS ROAD,"Avonhead, Christchurch",8042,2,1,1,511,104,1970,480,12/05/2023,8,FALSE,610000
1/387 WITHELLS ROAD,"Avonhead, Christchurch",8042,2,1,1,511,114,1970,450,1/08/2024,7,FALSE,520000
1/206 YALDHURST ROAD,"Avonhead, Christchurch",8042,2,1,1,511,100,1960,460,25/04/2024,35,TRUE,530000
226 YALDHURST ROAD,"Avonhead, Christchurch",8042,2,1,2,511,140,1980,570,30/05/2023,7,FALSE,560000
3A NGARIMU STREET,"Avonside, Christchurch",8061,2,1,1,511,76,1960,380,14/02/2024,22,FALSE,510000
77 BIRDWOOD AVENUE,"Beckenham, Christchurch",8023,2,2,1,675,153,1920,240,14/01/2024,7,FALSE,640000
2/73C FISHER AVENUE,"Beckenham, Christchurch",8023,2,1,2,511,140,1975,700,2/06/2024,7,FALSE,390000
43 WAIMEA TERRACE,"Beckenham, Christchurch",8023,2,1,1,673,110,1920,610,9/01/2023,7,FALSE,1010000
2/207A WAIMEA TERRACE,"Beckenham, Christchurch",8023,2,1,1,511,80,1975,420,8/07/2023,8,FALSE,620000
231 WAIMEA TERRACE,"Beckenham, Christchurch",8023,2,1,1,615,60,1950,539,14/03/2024,7,FALSE,730000
1 CASTILE PLACE,"Belfast, Christchurch",8051,2,1,2,627,190,1970,470,30/06/2023,7,FALSE,480000
7C DARROCH STREET,"Belfast, Christchurch",8051,2,1,1,511,80,2006,450,5/01/2024,8,TRUE,620000
15C JOHNS ROAD,"Belfast, Christchurch",8051,2,1,1,511,80,2006,475,15/11/2023,7,FALSE,650000
787A MAIN NORTH ROAD,"Belfast, Christchurch",8051,2,1,1,511,150,1980,400,24/07/2023,7,FALSE,465000
811A MAIN NORTH ROAD,"Belfast, Christchurch",8051,2,1,1,421,94,1990,500,15/05/2023,7,FALSE,465000
42 TYRONE STREET,"Belfast, Christchurch",8051,2,1,2,948,80,1915,525,26/06/2023,7,FALSE,520000
515A PAGES ROAD,"Bexley, Christchurch",8061,2,1,1,511,120,1970,420,12/04/2023,7,FALSE,530000
1/119 BREENS ROAD,"Bishopdale, Christchurch",8051,2,1,3,797,240,1970,550,25/02/2024,7,FALSE,530000
3 ELVIRA COURT,"Bishopdale, Christchurch",8053,2,1,1,511,100,1980,500,27/06/2023,7,FALSE,180000
1/263 GRAHAMS ROAD,"Bishopdale, Christchurch",8053,2,1,2,511,90,1950,580,12/05/2023,8,FALSE,650000
341 GREERS ROAD,"Bishopdale, Christchurch",8053,2,1,2,814,110,1950,470,7/11/2023,7,FALSE,560000
2/470 GREERS ROAD,"Bishopdale, Christchurch",8053,2,1,1,511,70,1960,445,11/06/2023,7,FALSE,510000
225A HAREWOOD ROAD,"Bishopdale, Christchurch",8053,2,2,2,645,220,1970,450,22/08/2023,7,FALSE,620000
5/17 HIGHSTED ROAD,"Bishopdale, Christchurch",8053,2,2,1,85,73,2023,550,29/01/2024,8,FALSE,510000
6/17 HIGHSTED ROAD,"Bishopdale, Christchurch",8053,2,2,1,71,73,2023,540,24/01/2024,78,FALSE,650000
7/17 HIGHSTED ROAD,"Bishopdale, Christchurch",8053,2,2,1,100,73,2023,550,24/01/2024,7,FALSE,590000
2/23 HIGHSTED ROAD,"Bishopdale, Christchurch",8053,2,1,1,511,110,1970,430,28/02/2024,7,FALSE,580000
37A HIGHSTED ROAD,"Bishopdale, Christchurch",8053,2,1,2,511,130,1990,500,10/05/2023,7,FALSE,600000
12A MANUEL PLACE,"Bishopdale, Christchurch",8053,2,1,1,511,100,1970,505,12/12/2023,9,FALSE,435000
44A NEWMARK STREET,"Bishopdale, Christchurch",8053,2,2,1,207,106,2023,550,9/08/2023,24,FALSE,670000
44B NEWMARK STREET,"Bishopdale, Christchurch",8053,2,2,1,146,94,2023,545,9/01/2023,8,FALSE,495000
2/35 OLDWOOD STREET,"Bishopdale, Christchurch",8053,2,1,1,511,110,1970,585,26/04/2024,20,TRUE,650000
1/30 RALEIGH STREET,"Bishopdale, Christchurch",8053,2,2,1,128,91,2023,575,1/03/2024,35,FALSE,620000
2/59 REYNOLDS AVENUE,"Bishopdale, Christchurch",8053,2,1,1,511,80,1970,480,12/04/2023,7,FALSE,495000
1/172 SAWYERS ARMS ROAD,"Bishopdale, Christchurch",8053,2,1,1,511,100,1970,520,29/03/2024,52,FALSE,610000
3/324 SAWYERS ARMS ROAD,"Bishopdale, Christchurch",8053,2,1,2,511,150,1990,520,15/05/2023,7,FALSE,495000
1/15 TOPAZ PLACE,"Bishopdale, Christchurch",8053,2,1,1,511,110,1980,470,23/06/2023,22,FALSE,480000
15 WILTON CRESCENT,"Bishopdale, Christchurch",8053,2,1,2,680,112,1950,530,3/05/2024,7,FALSE,680000
2/1 GLENBYRE PLACE,"Bromley, Christchurch",8062,2,1,1,511,90,1995,500,20/12/2023,7,FALSE,530000
2/45 HAY STREET,"Bromley, Christchurch",8062,2,1,1,511,60,1975,320,10/02/2023,7,FALSE,640000
2/11 HERSHAM PLACE,"Bromley, Christchurch",8062,2,1,1,511,70,1985,550,12/06/2023,7,FALSE,440000
2/12 KAWAU CRESCENT,"Bromley, Christchurch",8062,2,1,2,511,90,1975,550,14/02/2024,7,FALSE,400000
1/9 RAUPO STREET,"Bromley, Christchurch",8062,2,1,1,246,96,2022,500,25/05/2023,7,FALSE,460000
2/15 KINTYRE DRIVE,"Broomfield, Christchurch",8042,2,1,2,511,90,1990,550,23/06/2023,8,FALSE,435000
51A KINTYRE DRIVE,"Broomfield, Christchurch",8042,2,1,1,511,100,1990,495,29/07/2023,7,FALSE,585000
20 LUSSA CLOSE,"Broomfield, Christchurch",8042,2,2,1,270,134,2022,615,29/10/2023,7,FALSE,520000
5 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,174,83,2020,530,13/02/2024,7,FALSE,540000
16 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,87,71,2022,515,27/06/2023,7,FALSE,730000
18 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,115,71,2022,520,26/04/2024,43,TRUE,620000
27 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,174,74,2021,520,17/05/2023,7,FALSE,540000
41 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,122,77,2022,499,29/08/2023,27,FALSE,560000
56 PIRIPIRI PLACE,"Broomfield, Christchurch",8042,2,1,1,83,74,2022,540,5/06/2024,3,TRUE,600000
56 RANNOCH DRIVE,"Broomfield, Christchurch",8042,2,1,2,354,152,2012,579,14/02/2024,7,FALSE,600000
9 AORANGI ROAD,"Bryndwr, Christchurch",8053,2,1,2,678,84,1940,630,13/02/2024,7,FALSE,550000
2/86 AORANGI ROAD,"Bryndwr, Christchurch",8053,2,1,2,511,130,1990,560,2/06/2024,7,FALSE,690000
2/89 AORANGI ROAD,"Bryndwr, Christchurch",8053,2,1,2,511,150,1990,530,13/07/2023,2,FALSE,650000
35 ATTLEE CRESCENT,"Bryndwr, Christchurch",8053,2,1,1,540,83,1950,460,12/04/2023,8,FALSE,600000
7 BROOKSIDE TERRACE,"Bryndwr, Christchurch",8053,2,1,1,511,80,1940,410,8/03/2023,7,FALSE,640000
152 BROOKSIDE TERRACE,"Bryndwr, Christchurch",8053,2,1,2,759,121,1950,515,19/07/2023,7,FALSE,580000
154 BROOKSIDE TERRACE,"Bryndwr, Christchurch",8053,2,1,1,607,81,1950,420,21/06/2023,7,FALSE,480000
1/155 BROOKSIDE TERRACE,"Bryndwr, Christchurch",8053,2,1,1,511,100,1960,450,22/03/2024,7,FALSE,640000
5 CHRISTIAN STREET,"Bryndwr, Christchurch",8053,2,1,1,488,70,1945,520,28/04/2024,11,TRUE,530000
2/55 GARREG ROAD,"Bryndwr, Christchurch",8052,2,1,1,511,110,1970,500,13/12/2023,15,FALSE,495000
1/73A GARREG ROAD,"Bryndwr, Christchurch",8052,2,1,1,511,85,1970,525,30/04/2024,9,TRUE,430000
2/74 GARREG ROAD,"Bryndwr, Christchurch",8052,2,1,1,511,90,1970,460,20/06/2023,7,FALSE,570000
2/75 GARREG ROAD,"Bryndwr, Christchurch",8052,2,1,1,511,100,1970,529,26/02/2024,7,FALSE,580000
38 HOLLYFORD AVENUE,"Bryndwr, Christchurch",8053,2,1,1,716,82,1950,460,23/11/2023,25,FALSE,570000
45 HOOKER AVENUE,"Bryndwr, Christchurch",8053,2,1,2,721,233,2000,850,11/09/2023,7,FALSE,610000
6B HUDSON STREET,"Bryndwr, Christchurch",8053,2,1,1,511,110,1970,540,4/04/2024,7,FALSE,530000
