Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
6 BLOUDEN LANE ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,570,120,1990,550,1-Jun-23,7,False,"$570,000","$320,000"
44 CHARTWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,645,105,1965,550,30-May-23,7,False,"$590,000","$325,000"
2/29 PARNWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,486,108,1950,550,6-Jul-24,40,False,"$560,000","$265,000"
1/178 GAYHURST ROAD ,"DALLINGTON, CHRISTCHURCH",8061,3,1,1,-,93,1930,550,22-Oct-23,8,False,"$485,000","$280,000"
12 ASHWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,3,609,151,1970,550,29-Apr-23,7,False,"$670,000","$335,000"
5 BROADHAVEN AVENUE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,603,180,1980,550,26-Jan-23,7,False,"$670,000","$360,000"
36 COTTONWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,632,100,1970,550,15-Nov-23,38,False,"$490,000","$380,000"
1/106 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,120,1980,540,9-Jun-23,7,False,"$580,000","$260,000"
83B COTTONWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,100,1970,540,13-Jun-24,21,False,"$440,000","$220,000"
229 QUEENSPARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,624,120,1970,540,29-Jan-23,7,False,"$570,000","$360,000"
1/10 VALECREST AVENUE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,110,1970,540,26-Oct-24,7,False,"$460,000","$250,000"
29 VALECREST AVENUE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,698,111,1970,540,1-Nov-24,7,False,"$640,000","$350,000"
1/98A LAKE TERRACE ROAD ,"BURWOOD, CHRISTCHURCH",8061,3,1,1,-,130,1975,535,12-Sep-23,7,False,"$540,000","$250,000"
28 ACHILLES STREET ,"BURWOOD, CHRISTCHURCH",8061,3,1,1,759,101,1930,530,3-Jul-23,7,False,"$470,000","$290,000"
48 BAYNES STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,615,111,1960,530,8-Feb-23,7,False,"$540,000","$300,000"
1/17 ABERFOYLE PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,116,1980,530,18-Mar-24,7,False,"$500,000","$245,000"
37 DONNINGTON STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,591,100,1980,530,6-May-24,7,False,"$600,000","$345,000"
8A TAMARISK PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,100,1970,530,4-Jul-23,13,False,"$490,000","$230,000"
19 EGLINTON STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,1,625,111,1960,525,27-Mar-23,15,False,"$325,000","$265,000"
11A BARCLAY PLACE ,"BURWOOD, CHRISTCHURCH",8061,3,1,1,-,103,1950,520,28-Mar-24,7,False,"$465,000","$220,000"
9/294 MAIREHAU ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,108,2000,520,5-Apr-24,7,False,"$580,000","$270,000"
11 BIDEFORD PLACE ,"DALLINGTON, CHRISTCHURCH",8061,3,1,2,647,103,1960,520,28-Jan-23,7,False,"$500,000","$290,000"
19 CHADBURY STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,616,90,1980,520,19-Feb-24,7,False,"$460,000","$305,000"
1/73 ROYAL PARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,110,1975,520,7-Feb-24,27,False,"$450,000","$250,000"
2/97 ROYAL PARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,85,1970,510,20-Jun-23,27,False,"$490,000","$260,000"
199 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,607,95,1960,500,31-Jan-23,7,False,"$580,000","$315,000"
9 DAYTONA PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,588,110,1970,500,16-Mar-23,7,False,"$570,000","$315,000"
1 BALADIN STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,1,-,110,1980,495,10-Aug-23,3,False,"$495,000","$225,000"
209 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,607,103,1960,495,10-Jul-23,7,False,"$590,000","$315,000"
1/84 TRAVIS ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,102,1950,495,3-Sep-24,33,False,"$480,000","$215,000"
47 STRATHFIELD AVENUE ,"DALLINGTON, CHRISTCHURCH",8061,3,1,1,617,100,1970,495,28-Feb-23,7,False,"$520,000","$300,000"
1/18 INWOODS ROAD ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,90,1970,490,10-Jul-24,34,False,"$420,000","$200,000"
2/72 WARATAH STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,1,-,95,1980,485,6-Dec-24,7,False,"$460,000","$225,000"
12 GILWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,683,120,1960,480,1-Aug-23,2,False,"$610,000","$320,000"
17/294 MAIREHAU ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,108,2000,470,23-Jun-23,7,False,"$375,000","$270,000"
119 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,809,120,1950,440,20-Jan-23,7,False,"$550,000","$330,000"
169 WAINONI ROAD ,"AVONDALE, CHRISTCHURCH",8061,3,1,1,809,120,1950,430,16-Feb-23,27,False,"$560,000","$250,000"
512 MAIREHAU ROAD ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,115,2000,430,3-Mar-23,7,False,"$610,000","$240,000"
