Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Percentage_Diff,Quarterly Period
19 KINLOCH STREET,"ST ALBANS, CHRISTCHURCH",8014,2,2,1.0,196.0,89.0,2023.0,595.0,2023-05-10,15.0,False,770000,-4.9504950495049505,2023Q2
9B COOKE STREET,"SOMERFIELD, CHRISTCHURCH",8024,2,2,1.0,140.0,91.0,2023.0,550.0,2023-05-10,15.0,False,680000,7.8431372549019605,2023Q2
1/2 ALBEMARLE STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,2,1.0,96.0,104.0,2022.0,630.0,2023-05-10,12.0,False,740000,12.5,2023Q2
1/21A BRITTAN STREET ,"LINWOOD, CHRISTCHURCH",8011,3,1,1.0,508.0,120.0,1990.0,560.0,2023-05-10,8.0,False,520000,11.504424778761061,2023Q2
1/762 GLOUCESTER STREET ,"AVONSIDE, CHRISTCHURCH",8061,3,1,1.0,508.0,122.0,1920.0,530.0,2023-05-10,41.0,False,535000,-0.8849557522123894,2023Q2
28 AVALON STREET ,"RICHMOND, CHRISTCHURCH",8013,3,2,2.0,670.0,90.0,1905.0,400.0,2023-05-11,7.0,False,535000,-3.6363636363636362,2023Q2
9 SARAH NICHOLLS STREET ,"BELFAST, CHRISTCHURCH",8051,4,2,2.0,366.0,156.0,2022.0,620.0,2023-05-11,7.0,False,790000,0.0,2023Q2
4/24 SEYMOUR STREET,"HORNBY, CHRISTCHURCH",8042,2,1,1.0,508.0,70.0,1970.0,430.0,2023-05-11,7.0,False,425000,8.91089108910891,2023Q2
90 HUXLEY STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,1,1.0,186.0,139.0,2006.0,620.0,2023-05-11,2.0,False,610000,-6.1946902654867255,2023Q2
52 ARTHUR STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,2,1.0,842.0,130.0,1950.0,620.0,2023-05-11,7.0,False,720000,6.896551724137931,2023Q2
3/32 ELIZABETH STREET,"RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,69.0,1970.0,430.0,2023-05-11,7.0,False,445000,-14.000000000000002,2023Q2
2/154 STRICKLAND STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,173.0,85.0,2000.0,420.0,2023-05-11,7.0,False,530000,-12.244897959183673,2023Q2
3/69 CHAMPION STREET,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,70.0,1975.0,370.0,2023-05-11,7.0,False,375000,-12.5,2023Q2
1/5 MAYS ROAD,"ST ALBANS, CHRISTCHURCH",8052,2,1,1.0,508.0,84.0,1980.0,400.0,2023-05-11,7.0,False,590000,-13.978494623655912,2023Q2
71B KIDSON TERRACE ,"CASHMERE, CHRISTCHURCH",8022,3,2,1.0,508.0,110.0,1970.0,550.0,2023-05-11,27.0,False,570000,7.82608695652174,2023Q2
7 LARISSA ROAD ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,400.0,160.0,2023.0,650.0,2023-05-11,7.0,False,820000,5.084745762711865,2023Q2
41D NEVILLE STREET,"SPREYDON, CHRISTCHURCH",8024,2,1,1.0,508.0,70.0,1980.0,490.0,2023-05-11,7.0,False,510000,-13.978494623655912,2023Q2
29A WEBB STREET,"ST ALBANS, CHRISTCHURCH",8014,2,2,1.0,94.0,82.0,2021.0,550.0,2023-05-11,9.0,False,780000,5.376344086021505,2023Q2
144 LINWOOD AVENUE ,"LINWOOD, CHRISTCHURCH",8011,3,2,2.0,545.0,111.0,2023.0,620.0,2023-05-11,7.0,False,650000,0.0,2023Q2
27 DESMOND STREET ,"MERIVALE, CHRISTCHURCH",8014,4,2,2.0,784.0,250.0,1960.0,950.0,2023-05-11,7.0,False,1860000,-2.3622047244094486,2023Q2
398 HAREWOOD ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,3.0,809.0,110.0,1950.0,590.0,2023-05-11,7.0,False,650000,2.479338842975207,2023Q2
39 THAMES STREET ,"MAIREHAU, CHRISTCHURCH",8013,4,1,1.0,625.0,124.0,1930.0,610.0,2023-05-11,7.0,False,870000,0.0,2023Q2
59 COX STREET,"MERIVALE, CHRISTCHURCH",8014,2,1,1.0,508.0,100.0,1960.0,650.0,2023-05-11,7.0,False,890000,18.27956989247312,2023Q2
11 LINKWATER WAY ,"PARKLANDS, CHRISTCHURCH",8083,3,2,2.0,519.0,200.0,2000.0,750.0,2023-05-12,24.0,False,900000,0.0,2023Q2
5/24 PERCY STREET,"PHILLIPSTOWN, CHRISTCHURCH",8011,2,2,1.0,88.0,68.0,2021.0,480.0,2023-05-12,7.0,False,590000,18.27956989247312,2023Q2
1 GEORGE SQUARE WEST ,"WIGRAM, CHRISTCHURCH",8025,3,3,2.0,338.0,195.0,2016.0,685.0,2023-05-12,7.0,False,840000,10.483870967741936,2023Q2
4/20 AJAX STREET,"BURWOOD, CHRISTCHURCH",8061,2,2,1.0,96.0,70.0,2021.0,470.0,2023-05-12,7.0,False,555000,1.0526315789473684,2023Q2
36 TINOKORE STREET ,"HEI HEI, CHRISTCHURCH",8042,5,1,1.0,627.0,130.0,1955.0,400.0,2023-05-12,7.0,False,680000,0.0,2023Q2
6B MARLBOROUGH STREET ,"PHILLIPSTOWN, CHRISTCHURCH",8011,3,1,2.0,431.0,170.0,2000.0,540.0,2023-05-12,7.0,False,670000,13.223140495867769,2023Q2
52 RUTHERFORD STREET,"WOOLSTON, CHRISTCHURCH",8023,2,1,1.0,556.0,90.0,1945.0,480.0,2023-05-12,7.0,False,490000,1.0526315789473684,2023Q2
11 FIELDMOOR PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,2,2.0,583.0,180.0,1990.0,600.0,2023-05-12,7.0,False,630000,-1.639344262295082,2023Q2
1/3 LANTERN LANE ,"HALSWELL, CHRISTCHURCH",8025,4,2,1.0,859.0,120.0,1980.0,580.0,2023-05-12,14.0,False,650000,-0.8130081300813009,2023Q2
16 HUNTINGDON PLACE ,"AVONHEAD, CHRISTCHURCH",8042,5,3,2.0,832.0,320.0,1990.0,750.0,2023-05-12,7.0,False,1050000,0.0,2023Q2
12 DELPH STREET ,"AVONHEAD, CHRISTCHURCH",8042,3,1,1.0,809.0,110.0,1965.0,550.0,2023-05-12,7.0,False,760000,-9.836065573770492,2023Q2
2/184 CENTAURUS ROAD,"SAINT MARTINS, CHRISTCHURCH",8022,2,1,1.0,508.0,100.0,1970.0,490.0,2023-05-12,7.0,False,465000,1.0526315789473684,2023Q2
6/505 TUAM STREET,"PHILLIPSTOWN, CHRISTCHURCH",8011,2,1,1.0,72.0,72.0,2023.0,495.0,2023-05-12,23.0,False,535000,2.083333333333333,2023Q2
6 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1.0,249.0,104.0,2013.0,495.0,2023-05-12,7.0,False,560000,2.0618556701030926,2023Q2
2/97 WARDEN STREET,"RICHMOND, CHRISTCHURCH",8013,2,1,1.0,508.0,78.0,2000.0,450.0,2023-05-12,7.0,False,515000,2.0618556701030926,2023Q2
35A OLLIVIERS ROAD ,"PHILLIPSTOWN, CHRISTCHURCH",8011,3,1,2.0,193.0,138.0,1990.0,500.0,2023-05-12,52.0,False,485000,-9.836065573770492,2023Q2
247 WAIRAKEI ROAD ,"BRYNDWR, CHRISTCHURCH",8053,3,1,1.0,809.0,129.0,1950.0,550.0,2023-05-12,7.0,False,770000,-7.563025210084033,2023Q2
7/18 RASTRICK STREET,"MERIVALE, CHRISTCHURCH",8014,2,1,1.0,508.0,120.0,1990.0,495.0,2023-05-14,7.0,False,730000,1.0204081632653061,2023Q2
3/78 BLETSOE AVENUE,"SPREYDON, CHRISTCHURCH",8024,2,1,2.0,142.0,91.0,2020.0,580.0,2023-05-14,31.0,False,550000,0.5076142131979695,2023Q2
9 NALDER PLACE ,"LINWOOD, CHRISTCHURCH",8062,3,1,1.0,348.0,100.0,1950.0,520.0,2023-05-14,7.0,False,400000,-8.771929824561402,2023Q2
4/242 EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,3,3,1.0,177.0,119.0,2021.0,625.0,2023-05-14,7.0,False,760000,-7.563025210084033,2023Q2
145 AVONHEAD ROAD ,"AVONHEAD, CHRISTCHURCH",8042,3,1,1.0,821.0,124.0,1960.0,680.0,2023-05-14,7.0,False,840000,5.042016806722689,2023Q2
15 STRONSAY LANE ,"HILLSBOROUGH, CHRISTCHURCH",8022,5,2,2.0,508.0,301.0,2000.0,950.0,2023-05-14,7.0,False,1210000,0.0,2023Q2
280 OPAWA ROAD ,"HILLSBOROUGH, CHRISTCHURCH",8022,3,1,2.0,675.0,113.0,1940.0,460.0,2023-05-14,7.0,False,560000,9.649122807017543,2023Q2
16 PLUNKET STREET ,"SPREYDON, CHRISTCHURCH",8024,3,1,2.0,417.0,153.0,2006.0,635.0,2023-05-14,11.0,False,680000,10.434782608695652,2023Q2
48 AINTREE STREET ,"BISHOPDALE, CHRISTCHURCH",8051,3,1,2.0,617.0,90.0,1960.0,500.0,2023-05-14,7.0,False,495000,-9.090909090909092,2023Q2
68 HEATON STREET ,"MERIVALE, CHRISTCHURCH",8052,4,2,2.0,922.0,300.0,1920.0,575.0,2023-05-15,7.0,False,1440000,-4.918032786885246,2023Q2
1/3 GREYSTOKE LANE ,"AVONHEAD, CHRISTCHURCH",8042,5,2,3.0,682.0,280.0,1980.0,470.0,2023-05-15,7.0,False,650000,22.950819672131146,2023Q2
34A HEYWOOD TERRACE ,"RICHMOND, CHRISTCHURCH",8013,3,2,2.0,434.0,182.0,2018.0,520.0,2023-05-15,7.0,False,750000,-4.587155963302752,2023Q2
95 SUVA STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,2.0,607.0,120.0,1950.0,650.0,2023-05-15,7.0,False,670000,-5.454545454545454,2023Q2
6 PETHIG PLACE ,"HALSWELL, CHRISTCHURCH",8025,3,1,2.0,640.0,100.0,1970.0,585.0,2023-05-15,7.0,False,670000,6.363636363636363,2023Q2
3/12 WHITELEIGH AVENUE,"ADDINGTON, CHRISTCHURCH",8024,2,1,1.0,508.0,70.0,1960.0,530.0,2023-05-15,17.0,False,340000,7.07070707070707,2023Q2
2/74 BRYNLEY STREET,"HORNBY, CHRISTCHURCH",8042,2,1,1.0,508.0,63.0,1975.0,380.0,2023-05-15,4.0,False,410000,7.614213197969544,2023Q2
25 MATAROA PLACE ,"PARKLANDS, CHRISTCHURCH",8083,4,1,2.0,674.0,223.0,2000.0,640.0,2023-05-15,2.0,False,880000,-5.691056910569105,2023Q2
18 MALCOLM AVENUE ,"CASHMERE, CHRISTCHURCH",8022,3,1,2.0,840.0,130.0,1960.0,560.0,2023-05-15,7.0,False,800000,5.405405405405405,2023Q2
811A MAIN NORTH ROAD,"BELFAST, CHRISTCHURCH",8051,2,1,1.0,421.0,94.0,1990.0,500.0,2023-05-15,7.0,False,530000,1.5228426395939088,2023Q2
35 TIVOLI PLACE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2.0,537.0,170.0,1980.0,520.0,2023-05-15,7.0,False,690000,0.9009009009009009,2023Q2
3/324 SAWYERS ARMS ROAD,"BISHOPDALE, CHRISTCHURCH",8053,2,1,2.0,508.0,150.0,1990.0,520.0,2023-05-15,7.0,False,680000,1.0101010101010102,2023Q2
26 GUILDFORD STREET ,"BURNSIDE, CHRISTCHURCH",8053,3,1,2.0,673.0,100.0,1950.0,630.0,2023-05-15,7.0,False,680000,-2.1834061135371177,2023Q2
4/61 MARSHLAND ROAD ,"SHIRLEY, CHRISTCHURCH",8061,3,2,1.0,94.0,114.0,2020.0,560.0,2023-05-15,7.0,False,720000,-2.1834061135371177,2023Q2
1/100 ORAM AVENUE,"NEW BRIGHTON, CHRISTCHURCH",8061,2,1,1.0,508.0,64.0,1950.0,445.0,2023-05-15,7.0,False,440000,1.0101010101010102,2023Q2
1 OLYMPIC LANE ,"EDGEWARE, CHRISTCHURCH",8013,3,2,2.0,276.0,183.0,2000.0,700.0,2023-05-15,7.0,False,680000,10.043668122270741,2023Q2
18 THERESE STREET ,"SPREYDON, CHRISTCHURCH",8024,3,1,1.0,508.0,102.0,1925.0,550.0,2023-05-15,7.0,False,580000,0.0,2023Q2
30 LYNFIELD AVENUE ,"ILAM, CHRISTCHURCH",8041,3,1,2.0,665.0,144.0,1960.0,580.0,2023-05-15,7.0,False,840000,1.7543859649122806,2023Q2
16/15 BUNYAN STREET,"WALTHAM, CHRISTCHURCH",8023,2,2,21.0,73.0,70.0,2022.0,480.0,2023-05-15,7.0,False,710000,-3.0303030303030303,2023Q2
17B PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1.0,225.0,85.0,2005.0,650.0,2023-05-15,7.0,False,620000,1.7543859649122806,2023Q2
2/26A COLLIGAN STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,1.0,508.0,120.0,1970.0,350.0,2023-05-15,6.0,False,540000,1.7543859649122806,2023Q2
4A LANGDALE PLACE ,"SCARBOROUGH, CHRISTCHURCH",8081,3,1,2.0,541.0,122.0,1990.0,850.0,2023-05-15,7.0,False,1150000,11.587982832618025,2023Q2
3/6 LANE STREET,"WOOLSTON, CHRISTCHURCH",8023,2,1,1.0,508.0,80.0,1975.0,400.0,2023-05-15,7.0,False,350000,-10.1010101010101,2023Q2
2/55 MATHESONS ROAD,"PHILLIPSTOWN, CHRISTCHURCH",8011,2,2,1.0,118.0,50.0,2023.0,550.0,2023-05-16,8.0,False,580000,-3.0303030303030303,2023Q2
45 RANGER STREET ,"MAIREHAU, CHRISTCHURCH",8052,5,2,1.0,607.0,175.0,1940.0,520.0,2023-05-16,33.0,False,1020000,0.0,2023Q2
102C ISLEWORTH ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,4,2,2.0,966.0,237.0,1960.0,700.0,2023-05-16,15.0,False,930000,3.225806451612903,2023Q2
4/107 MACKWORTH STREET,"WOOLSTON, CHRISTCHURCH",8062,2,2,1.0,115.0,78.0,2023.0,500.0,2023-05-16,83.0,False,520000,0.5025125628140703,2023Q2
1/19 MORELAND AVENUE ,"PAPANUI, CHRISTCHURCH",8053,3,1,1.0,508.0,130.0,1950.0,550.0,2023-05-16,84.0,False,630000,-3.508771929824561,2023Q2
117D WAIMAIRI ROAD ,"ILAM, CHRISTCHURCH",8041,4,1,2.0,890.0,250.0,1970.0,690.0,2023-05-16,29.0,False,850000,9.523809523809524,2023Q2
1/66 PACKE STREET ,"EDGEWARE, CHRISTCHURCH",8013,3,4,2.0,169.0,148.0,2015.0,620.0,2023-05-16,18.0,False,850000,8.771929824561402,2023Q2
1/24 NEPAL PLACE,"BURNSIDE, CHRISTCHURCH",8053,2,1,2.0,508.0,150.0,1980.0,520.0,2023-05-17,8.0,False,830000,4.0,2023Q2
3 KINLEYS LANE ,"ST ALBANS, CHRISTCHURCH",8014,3,1,2.0,508.0,150.0,1990.0,750.0,2023-05-17,8.0,False,930000,3.3333333333333335,2023Q2
56 ACHILLES STREET ,"BURWOOD, CHRISTCHURCH",8061,3,2,1.0,508.0,110.0,1950.0,565.0,2023-05-17,3.0,False,500000,3.3333333333333335,2023Q2
19 WENTWORTH STREET ,"ILAM, CHRISTCHURCH",8041,3,1,1.0,426.0,110.0,1950.0,570.0,2023-05-17,7.0,False,600000,-0.8695652173913043,2023Q2
6 OTARA STREET ,"ILAM, CHRISTCHURCH",8053,3,1,2.0,802.0,131.0,1930.0,610.0,2023-05-17,7.0,False,960000,-4.201680672268908,2023Q2
27 PIRIPIRI PLACE,"BROOMFIELD, CHRISTCHURCH",8042,2,1,1.0,174.0,74.0,2021.0,520.0,2023-05-17,7.0,False,600000,1.9607843137254901,2023Q2
74 HOUNSLOW STREET ,"ILAM, CHRISTCHURCH",8041,3,2,2.0,411.0,190.0,1990.0,580.0,2023-05-17,7.0,False,790000,0.0,2023Q2
3/203 SPRINGFIELD ROAD,"ST ALBANS, CHRISTCHURCH",8014,2,1,1.0,508.0,60.0,1960.0,420.0,2023-05-17,7.0,False,395000,4.0,2023Q2
20 WESTLAKE DRIVE ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,508.0,210.0,1990.0,550.0,2023-05-17,7.0,False,730000,0.0,2023Q2
2/71B MAIN ROAD,"REDCLIFFS, CHRISTCHURCH",8081,2,1,1.0,508.0,75.0,2021.0,575.0,2023-05-17,24.0,False,640000,4.0,2023Q2
400 PAPANUI ROAD ,"STROWAN, CHRISTCHURCH",8052,3,1,1.0,508.0,70.0,1960.0,520.0,2023-05-17,7.0,False,630000,-4.3478260869565215,2023Q2
9/180 MARINE PARADE,"NEW BRIGHTON, CHRISTCHURCH",8083,2,2,1.0,61.0,95.0,2023.0,575.0,2023-05-17,7.0,False,630000,12.745098039215685,2023Q2
3 MOYNA AVENUE ,"DALLINGTON, CHRISTCHURCH",8061,3,2,2.0,766.0,117.0,2015.0,560.0,2023-05-17,7.0,False,640000,-3.0837004405286343,2023Q2
233 AVONHEAD ROAD ,"AVONHEAD, CHRISTCHURCH",8042,3,2,2.0,508.0,200.0,1990.0,620.0,2023-05-17,7.0,False,880000,-2.608695652173913,2023Q2
1/6 DALKEITH STREET ,"HOON HAY, CHRISTCHURCH",8025,3,1,2.0,508.0,117.0,1950.0,580.0,2023-05-17,16.0,False,630000,0.8695652173913043,2023Q2
21 THORNWOOD PLACE ,"REDWOOD, CHRISTCHURCH",8051,4,2,2.0,764.0,220.0,1990.0,730.0,2023-05-17,7.0,False,930000,8.527131782945736,2023Q2
1 ANTRIM STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,288.0,102.0,1920.0,600.0,2023-05-17,19.0,False,530000,10.576923076923077,2023Q2
1 CAITHNESS STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,2,2.0,724.0,148.0,2014.0,630.0,2023-05-17,7.0,False,710000,6.896551724137931,2023Q2
75 RAWNSLEY TERRACE ,"WIGRAM, CHRISTCHURCH",8042,3,2,1.0,169.0,157.0,2014.0,650.0,2023-05-17,7.0,False,740000,8.620689655172415,2023Q2
15 OLDWOOD STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2.0,637.0,102.0,1960.0,580.0,2023-05-17,15.0,False,690000,8.620689655172415,2023Q2
24 KIRNER STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1.0,612.0,100.0,1960.0,560.0,2023-05-17,7.0,False,590000,0.0,2023Q2
167 MILTON STREET ,"SOMERFIELD, CHRISTCHURCH",8024,3,1,1.0,316.0,90.0,1930.0,565.0,2023-05-17,34.0,False,600000,-2.586206896551724,2023Q2
10 IDRIS ROAD,"FENDALTON, CHRISTCHURCH",8052,2,1,1.0,769.0,134.0,1940.0,640.0,2023-05-17,9.0,False,1180000,15.384615384615385,2023Q2
3/44 ANTIGUA STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1.0,61.0,68.0,2023.0,500.0,2023-05-17,8.0,False,650000,15.384615384615385,2023Q2
531A HAREWOOD ROAD ,"HAREWOOD, CHRISTCHURCH",8051,3,1,2.0,495.0,157.0,2000.0,620.0,2023-05-17,12.0,False,830000,-2.586206896551724,2023Q2
37 EVESHAM CRESCENT ,"SPREYDON, CHRISTCHURCH",8024,3,1,1.0,645.0,90.0,1950.0,450.0,2023-05-17,7.0,False,670000,-1.3100436681222707,2023Q2
515A SAINT ASAPH STREET ,"PHILLIPSTOWN, CHRISTCHURCH",8011,5,2,2.0,242.0,155.0,2000.0,745.0,2023-05-18,43.0,False,550000,-17.786561264822133,2023Q2
9 ANTRIM STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,2.0,207.0,128.0,1990.0,520.0,2023-05-18,7.0,False,620000,0.0,2023Q2
2/331 LINCOLN ROAD,"ADDINGTON, CHRISTCHURCH",8024,2,2,1.0,63.0,71.0,2023.0,500.0,2023-05-18,31.0,False,610000,-3.8461538461538463,2023Q2
17 WOOLSTON COURT,"WOOLSTON, CHRISTCHURCH",8023,2,1,1.0,508.0,70.0,1975.0,360.0,2023-05-18,4.0,False,380000,-3.8461538461538463,2023Q2
5 BOUMA STREET ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,519.0,187.0,2017.0,620.0,2023-05-18,7.0,False,940000,6.896551724137931,2023Q2
1/61 AMBLESIDE DRIVE,"BURNSIDE, CHRISTCHURCH",8053,2,2,3.0,636.0,230.0,1980.0,430.0,2023-05-18,7.0,False,650000,-17.307692307692307,2023Q2
5/59 VOGEL STREET,"RICHMOND, CHRISTCHURCH",8013,2,19,1.0,508.0,130.0,1975.0,500.0,2023-05-18,7.0,False,405000,-15.686274509803921,2023Q2
2/34 HUXLEY STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,1,1.0,508.0,80.0,1975.0,450.0,2023-05-18,7.0,False,320000,-22.413793103448278,2023Q2
47 NORWICH STREET ,"LINWOOD, CHRISTCHURCH",8062,3,1,2.0,506.0,90.0,1920.0,500.0,2023-05-18,8.0,False,465000,-13.793103448275861,2023Q2
333 EASTERN TERRACE ,"SYDENHAM, CHRISTCHURCH",8023,4,1,2.0,650.0,240.0,1970.0,639.0,2023-05-18,7.0,False,680000,7.8967943706020325,2023Q2
2 ERLING ZIESLER LANE ,"WIGRAM, CHRISTCHURCH",8025,3,2,2.0,528.0,154.0,2018.0,650.0,2023-05-18,7.0,False,820000,-13.793103448275861,2023Q2
2/28 BRIGHAM DRIVE ,"HALSWELL, CHRISTCHURCH",8025,3,1,2.0,508.0,190.0,1995.0,630.0,2023-05-18,7.0,False,790000,5.0,2023Q2
7D ANTRIM STREET,"SYDENHAM, CHRISTCHURCH",8023,2,2,1.0,168.0,93.0,2023.0,580.0,2023-05-18,7.0,False,600000,-1.9607843137254901,2023Q2
143 OLLIVIERS ROAD,"PHILLIPSTOWN, CHRISTCHURCH",8011,2,2,1.0,379.0,78.0,1950.0,410.0,2023-05-18,7.0,False,500000,-1.9607843137254901,2023Q2
2/7 ANGELA STREET,"UPPER RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,80.0,1965.0,370.0,2023-05-18,7.0,False,455000,-18.0,2023Q2
77 BISHOP STREET ,"ST ALBANS, CHRISTCHURCH",8014,3,2,2.0,224.0,144.0,2008.0,630.0,2023-05-19,7.0,False,730000,5.0,2023Q2
21/6 WAVERLEY STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,508.0,71.0,2018.0,500.0,2023-05-19,3.0,False,630000,-18.0,2023Q2
9 WOODFORD TERRACE ,"ILAM, CHRISTCHURCH",8053,4,1,2.0,880.0,170.0,1980.0,750.0,2023-05-19,10.0,False,1210000,14.15168100078186,2023Q2
5/100 RUSKIN STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1.0,67.0,68.0,2023.0,500.0,2023-05-19,36.0,False,650000,0.0,2023Q2
1/61 CALEDONIAN ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3,1,1.0,508.0,116.0,1980.0,475.0,2023-05-19,7.0,False,640000,10.043668122270741,2023Q2
