Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value
54 MOMORANGI CRESCENT ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,541,150,1980,600,6-Mar-24,7,FALSE,"$610,000"
59 SARABANDE AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,620,112,1970,600,1-Feb-24,7,FALSE,"$630,000"
28 BARNES ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,110,1960,595,22-Apr-24,14,FALSE,"$590,000"
54B DUNBARTON STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,769,110,1985,595,20-Mar-24,7,FALSE,"$670,000"
2/177A GRIMSEYS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,110,1970,595,18-Jul-24,7,FALSE,"$520,000"
73 WINGATE STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,655,103,1960,595,5-Apr-23,7,FALSE,"$600,000"
66 BAINTON STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,607,150,1970,590,12-Jan-24,7,FALSE,"$670,000"
398 HAREWOOD ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,3,809,110,1950,590,11-May-23,7,FALSE,"$650,000"
9 REYNOLDS AVENUE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,627,124,1960,590,20-Feb-24,7,FALSE,"$670,000"
50 KIMBERLEY STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,622,150,1970,590,15-Feb-24,7,FALSE,"$690,000"
19 DUNEDIN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,817,130,1950,590,18-Feb-24,7,FALSE,"$580,000"
16 SARABANDE AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,610,105,1970,590,26-Oct-23,2,FALSE,"$610,000"
1/32 GREENOCK STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,110,1985,585,3-Sep-24,24,TRUE,"$520,000"
438 GREERS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,-,120,1950,580,7-Sep-24,13,TRUE,"$590,000"
11 IAN PLACE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,535,108,1970,580,12-Dec-23,7,FALSE,"$730,000"
15 OLDWOOD STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,637,102,1960,580,17-May-23,15,FALSE,"$690,000"
225 SAWYERS ARMS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,572,104,1970,580,24-Oct-23,7,FALSE,"$600,000"
319 SAWYERS ARMS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,607,120,1970,580,16-Jan-24,7,FALSE,"$630,000"
142 HIGHSTED ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,638,183,1960,580,28-Sep-23,7,FALSE,"$760,000"
1/47 JOCELYN STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,809,110,1950,580,13-Sep-24,95,TRUE,-
12 HOANI STREET ,"PAPANUI, CHRISTCHURCH",8053,3,1,1,511,102,1940,580,18-Sep-23,19,FALSE,"$550,000"
14 HOANI STREET ,"PAPANUI, CHRISTCHURCH",8053,3,1,1,516,90,1920,580,14-Jun-24,7,FALSE,"$540,000"
39 CAMDEN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,646,102,1975,580,10-Nov-23,7,FALSE,"$610,000"
54 NORRIE STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,668,122,1960,580,19-Apr-23,7,FALSE,"$630,000"
17 TUCKERS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,726,100,1965,580,10-Oct-23,7,FALSE,"$630,000"
11 VALERIE PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,607,120,1970,580,30-Jul-24,7,FALSE,"$590,000"
39 VAGUES ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,728,150,1950,575,10-Sep-24,10,TRUE,"$870,000"
22A DUNEDIN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,150,1990,575,29-Apr-23,7,FALSE,"$670,000"
468 GREERS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,792,130,1960,570,12-Jul-24,7,FALSE,"$650,000"
28 BROCKHAM STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,488,107,1960,570,3-Dec-23,7,FALSE,"$600,000"
47 SAWYERS ARMS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,-,110,1940,570,9-Apr-24,7,FALSE,"$520,000"
3 FREEBAIRN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,607,122,1960,570,10-Dec-23,15,FALSE,"$630,000"
2/5 HIBISCUS PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,150,1990,570,21-Aug-24,30,FALSE,"$580,000"
1/203 MAIN NORTH ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,130,1970,570,23-Oct-23,31,FALSE,"$510,000"
5 PRESTONS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,812,133,1960,570,9-May-24,7,FALSE,"$640,000"
72 SARABANDE AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,529,153,1980,570,14-Apr-23,7,FALSE,"$670,000"
1/23A SAUNDERS PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,120,1970,570,4-Sep-24,16,TRUE,"$550,000"
494 GREERS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,827,114,1960,565,30-Apr-24,7,FALSE,"$650,000"
496 GREERS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,812,131,1955,565,26-Jul-24,3,FALSE,"$670,000"
64 WINGATE STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,655,110,1960,565,16-Nov-23,18,FALSE,"$590,000"
72D TUCKERS ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,-,170,1990,560,31-May-24,37,FALSE,"$700,000"
7 CAMDEN STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,736,102,1950,560,17-Sep-24,3,TRUE,"$560,000"
2/65 NORTHCOTE ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,-,100,1990,560,14-Sep-23,7,FALSE,"$530,000"
2 NYOLI STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,736,124,1950,560,5-May-23,7,FALSE,"$600,000"
544 CRANFORD STREET ,"PAPANUI, CHRISTCHURCH",8052,3,1,2,825,125,1940,560,25-Mar-24,7,FALSE,"$610,000"
16 DUNEDIN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,414,120,1950,560,19-Aug-24,7,FALSE,"$610,000"
3 GROSVENOR STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,696,103,1950,560,10-Oct-23,7,FALSE,"$550,000"
47B SOLOMON AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,110,1980,560,27-Jul-23,7,FALSE,"$520,000"
51 BAINTON STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,-,120,1980,550,16-Nov-23,20,FALSE,"$530,000"
16 CARDOME STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,617,110,1960,550,4-Apr-23,7,FALSE,"$690,000"
80 GARDINERS ROAD ,"BISHOPDALE, CHRISTCHURCH",8051,3,1,2,637,110,1960,550,1-Sep-23,7,FALSE,"$640,000"
6/346 HAREWOOD ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,-,110,1970,550,11-Mar-24,7,FALSE,"$590,000"
1/162 HIGHSTED ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,-,100,1980,550,29-Aug-23,18,FALSE,"$500,000"
2/33 NORTHFIELD ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,-,120,1970,550,16-Jun-23,7,FALSE,"$510,000"
24 LA PEROUSE PLACE ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,688,130,1970,550,29-Apr-23,7,FALSE,"$620,000"
157 LANGDONS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,693,105,1950,550,29-Nov-23,7,FALSE,"$620,000"
182 LANGDONS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,723,100,1950,550,8-Mar-24,7,FALSE,"$520,000"
11 PHOENIX LANE ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,611,170,1990,550,17-Jul-23,7,FALSE,"$630,000"
56B SAWYERS ARMS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,209,106,2019,550,26-Aug-23,7,FALSE,"$700,000"
16 HOANI STREET ,"PAPANUI, CHRISTCHURCH",8053,3,1,1,526,102,1930,550,22-Aug-23,7,FALSE,"$590,000"
1/107 MAIN NORTH ROAD ,"PAPANUI, CHRISTCHURCH",8052,3,1,2,-,140,1980,550,12-Feb-24,7,FALSE,"$530,000"
31 DANIELS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,130,1950,550,6-Sep-23,7,FALSE,"$600,000"
39 DUNBARTON STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,600,120,1970,550,31-Aug-24,24,TRUE,"$620,000"
85 FARQUHARS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,612,100,1970,550,5-Nov-23,12,FALSE,"$580,000"
81 LOWRY AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,650,100,1970,550,30-Jun-23,7,FALSE,"$650,000"
34B PRESTONS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,814,144,1980,550,5-Jun-24,7,FALSE,"$800,000"
2/40 SARABANDE AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,110,1980,550,14-Dec-23,25,FALSE,"$485,000"
22 LAMBETH CRESCENT ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,878,105,1950,540,28-May-23,7,FALSE,"$540,000"
135A LANGDONS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,-,100,1950,540,2-Feb-24,7,FALSE,"$560,000"
7 NYOLI STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,627,110,1955,540,9-May-23,7,FALSE,"$570,000"
33 DENNISTON CRESCENT ,"REDWOOD, CHRISTCHURCH",8051,3,1,4,669,110,1970,540,27-Jun-24,7,FALSE,"$620,000"
30 EALING STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,668,105,1950,535,16-Sep-23,7,FALSE,"$490,000"
14A HEAPHY PLACE ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,-,100,1970,530,23-Sep-23,7,FALSE,"$510,000"
31A LARCH PLACE ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,-,110,1980,530,8-Sep-23,7,FALSE,"$540,000"
19A NORTHCOTE ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,3,-,100,1990,530,12-Oct-23,7,FALSE,"$520,000"
10 CUNLIFFE ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,511,100,1985,530,9-May-23,7,FALSE,"$590,000"
33 FARQUHARS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,612,100,1970,530,6-Aug-24,7,FALSE,"$720,000"
2/49 CHIPPING LANE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,120,1970,525,27-Aug-24,24,TRUE,"$490,000"
2/29 DUNEDIN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,114,1990,525,14-Sep-24,6,TRUE,"$600,000"
1/3 JAMES CONDON PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,-,100,1975,525,11-Dec-23,19,FALSE,"$510,000"
35 TIVOLI PLACE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,537,170,1980,520,15-May-23,7,FALSE,"$690,000"
17 CLARIDGES ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,809,120,1955,520,21-Jun-23,8,FALSE,"$630,000"
97A VAGUES ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,-,150,1990,520,1-Sep-23,7,FALSE,"$630,000"
120 NORTHCOTE ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,587,107,1970,510,9-Aug-23,7,FALSE,"$520,000"
42 BAINTON STREET ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,4,712,170,2000,495,18-Oct-23,7,FALSE,"$710,000"
18 CHEDWORTH AVENUE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,632,100,1960,490,17-Sep-24,6,TRUE,"$590,000"
1/242A SAWYERS ARMS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,-,120,1970,430,3-Jul-23,36,FALSE,"$510,000"
46 LAMBETH CRESCENT ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,731,104,1950,430,1-Sep-23,7,FALSE,"$490,000"
8 SAWYERS ARMS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,344,100,1940,390,21-Jun-24,7,FALSE,"$540,000"
62 FARQUHARS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,645,116,1970,350,24-Feb-24,7,FALSE,"$660,000"
48 VAGUES ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,819,107,1940,330,21-Mar-24,8,FALSE,"$860,000"
22 JOCELYN STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,610,155,1950,270,31-Aug-24,42,TRUE,"$720,000"
18 OAKLAND STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,625,100,1950,210,5-Oct-23,22,FALSE,"$520,000"
14 OPAL PLACE ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,627,100,1960,180,13-Dec-23,78,FALSE,"$620,000"
2/346 HAREWOOD ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,-,120,1970,Not Disclosed,18-Aug-23,7,FALSE,"$510,000"
17B RAMORE PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,902,190,1990,Not Disclosed,24-Jan-24,7,FALSE,"$680,000"
