Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value,Z_Last Rental Price,Z_Bath,Z_Car,Z_Land Size (sqm),Z_Floor Size (sqm),Z_Year Built,Z_Days on Market,Z_Capital Value
13/27 CORNWALL STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,218.0,90.0,1970.0,590.0,2024-09-01,7,False,610000.0,220000.0,-0.8094,0.0,0.0,0.0,-1.9271428571428573,-1.01175,0.0,-1.0492222222222223
45 CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,1.0,463.0,120.0,1915.0,590.0,2024-04-23,7,False,600000.0,330000.0,-0.99826,0.0,-674500000.0,0.02414317673378076,-1.18712,-0.9944551282051282,0.0,-1.349
88A EDGEWARE ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,218.0,161.0,2010.0,590.0,2023-07-27,7,False,770000.0,350000.0,-0.8094,674500000.0,674500000.0,0.0,1.4935357142857144,0.33725,0.0,0.14988888888888888
43B PURCHAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,1.0,214.0,110.0,2005.0,590.0,2024-01-17,7,False,550000.0,350000.0,-0.8094,674500000.0,0.0,-0.048178571428571425,-0.9635714285714286,0.168625,0.0,-1.498888888888889
43C PURCHAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,1.0,222.0,110.0,2008.0,590.0,2024-10-01,29,False,550000.0,350000.0,-0.8094,674500000.0,0.0,0.048178571428571425,-0.9635714285714286,0.2698,14839000000.0,-1.498888888888889
63 PURCHAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,789.0,151.0,1915.0,590.0,2023-08-26,7,False,740000.0,740000.0,-0.8094,0.0,0.0,6.8774910714285715,1.01175,-2.866625,0.0,-0.07494444444444444
7/129 SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,75.0,71.0,2022.0,590.0,2024-02-26,7,False,630000.0,205000.0,1.2526428571428572,0.0,0.0,-96453500000.0,-0.3934583333333333,0.5781428571428571,0.0,0.2890714285714286
21 PASCOE AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,2.0,665.0,121.0,1930.0,589.0,2023-11-14,7,False,740000.0,410000.0,-0.82289,0.0,674500000.0,5.383955357142858,-0.43360714285714286,-2.36075,0.0,-0.07494444444444444
5 VERLAMIO LANE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,169.0,95.0,2019.0,585.0,2024-03-26,19,False,660000.0,260000.0,1.1562857142857144,674500000.0,0.0,-33050499999.999996,0.9555416666666666,0.43360714285714286,8093999999.999999,0.5781428571428572
173A SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,505.0,141.0,1945.0,585.0,2023-09-08,7,False,790000.0,590000.0,-0.87685,0.0,0.0,3.4568125000000003,0.5299642857142858,-1.8548749999999998,0.0,0.29977777777777775
545 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,2,2.0,200.0,143.0,2000.0,580.0,2023-10-02,14,False,680000.0,390000.0,-0.9442999999999999,674500000.0,674500000.0,-0.21680357142857143,0.6263214285714286,0.0,4721499999.999999,-0.5246111111111111
141B CHAMPION STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,1.0,189.0,83.0,2021.0,580.0,2024-08-21,7,False,670000.0,360000.0,-0.9442999999999999,0.0,0.0,-0.3492946428571429,-2.264392857142857,0.708225,0.0,-0.5995555555555555
206B EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,80.0,85.0,2024.0,580.0,2024-05-29,46,False,610000.0,190000.0,1.0599285714285713,0.0,0.0,-93081000000.0,0.3934583333333333,0.6745,26305499999.999996,0.09635714285714286
167C GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,152.0,99.0,2023.0,580.0,2024-01-12,15,False,650000.0,240000.0,1.0599285714285713,674500000.0,0.0,-44516999999.99999,1.180375,0.6263214285714286,5396000000.0,0.48178571428571426
173A GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,3,1.0,184.0,101.0,2024.0,580.0,2024-07-12,8,False,700000.0,260000.0,1.0599285714285713,1349000000.0,0.0,-22933000000.0,1.2927916666666668,0.6745,674500000.0,0.9635714285714285
94 PACKE STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,2.0,193.0,99.0,2005.0,580.0,2024-01-30,7,False,640000.0,235000.0,-0.9442999999999999,0.0,674500000.0,-0.30111607142857144,-1.4935357142857144,0.168625,0.0,-0.8243888888888888
131 FRANCIS AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,4.0,1,3.0,607.0,220.0,1950.0,580.0,2024-07-15,49,False,840000.0,450000.0,-1.05222,-674500000.0,674500000.0,0.45872035794183447,1.51088,-0.38913461538461536,28329000000.0,-0.2698
48 THAMES STREET ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,1.0,539.0,98.0,1920.0,580.0,2023-07-05,35,False,550000.0,400000.0,-0.9442999999999999,0.0,0.0,3.866330357142857,-1.5417142857142856,-2.698,18885999999.999996,-1.498888888888889
209B CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,67.0,80.0,2022.0,580.0,2023-12-14,7,False,600000.0,190000.0,1.0599285714285713,674500000.0,0.0,-101849499999.99998,0.11241666666666666,0.5781428571428571,0.0,0.0
1/15 EDGEWARE ROAD ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,135.0,1970.0,580.0,2024-07-08,4,False,690000.0,380000.0,1.0599285714285713,0.0,0.0,0.0,3.203875,-1.9271428571428573,-2023499999.9999998,0.8672142857142857
6/17 EVERSLEIGH STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,2.0,218.0,140.0,1990.0,580.0,2024-05-22,7,False,780000.0,325000.0,1.0599285714285713,0.0,674500000.0,0.0,3.484916666666667,-0.9635714285714286,0.0,1.7344285714285714
487 MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,266.0,120.0,1990.0,580.0,2024-09-12,7,False,610000.0,400000.0,-0.9442999999999999,0.0,674500000.0,0.5781428571428571,-0.4817857142857143,-0.33725,0.0,-1.0492222222222223
6/611 MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,161.0,87.0,1990.0,580.0,2024-01-29,15,False,530000.0,260000.0,1.0599285714285713,0.0,0.0,-38446500000.0,0.505875,-0.9635714285714286,5396000000.0,-0.6745
3/489 MANCHESTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,192.0,119.0,2017.0,580.0,2024-04-05,7,False,700000.0,305000.0,1.0599285714285713,674500000.0,0.0,-17536999999.999996,2.3045416666666667,0.33725,0.0,0.9635714285714285
54 MERSEY STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,218.0,120.0,1990.0,580.0,2024-08-27,7,False,620000.0,275000.0,-0.9442999999999999,0.0,674500000.0,0.0,-0.4817857142857143,-0.33725,0.0,-0.9742777777777778
35A OXLEY AVENUE ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,312.0,120.0,2000.0,580.0,2024-09-16,13,False,640000.0,420000.0,-0.9442999999999999,0.0,0.0,1.1321964285714285,-0.4817857142857143,0.0,4046999999.9999995,-0.8243888888888888
1/11 RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,100.0,1970.0,580.0,2024-11-13,7,False,620000.0,450000.0,1.0599285714285713,0.0,0.0,0.0,1.2365833333333334,-1.9271428571428573,0.0,0.19271428571428573
2/140 SAINT ALBANS STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,208.0,90.0,2023.0,580.0,2023-11-10,7,False,685000.0,285000.0,1.0599285714285713,674500000.0,0.0,-6745000000.0,0.6745,0.6263214285714286,0.0,0.8190357142857143
84A SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,232.0,117.0,2015.0,580.0,2023-10-20,7,False,700000.0,375000.0,-0.9442999999999999,0.0,0.0,0.168625,-0.6263214285714286,0.505875,0.0,-0.37472222222222223
2/9 SOMME STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,80.0,1970.0,580.0,2023-12-27,22,False,620000.0,395000.0,1.0599285714285713,0.0,0.0,0.0,0.11241666666666666,-1.9271428571428573,10117500000.0,0.19271428571428573
72A SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,345.0,107.0,2014.0,580.0,2024-09-20,7,False,770000.0,530000.0,-0.9442999999999999,0.0,0.0,1.529669642857143,-1.108107142857143,0.47214999999999996,0.0,0.14988888888888888
2/162 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,98.0,76.0,2023.0,580.0,2024-07-17,7,False,670000.0,300000.0,1.0599285714285713,674500000.0,0.0,-80940000000.0,-0.11241666666666666,0.6263214285714286,0.0,0.6745
3/218 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,130.0,1995.0,580.0,2024-08-27,7,False,850000.0,350000.0,1.0599285714285713,0.0,0.0,0.0,2.922833333333333,-0.7226785714285714,0.0,2.4089285714285715
4 SQUIRE STREET ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,1.0,640.0,190.0,1939.0,575.0,2024-03-02,7,False,910000.0,350000.0,-1.01175,0.0,0.0,5.082839285714286,2.8907142857142856,-2.057225,0.0,1.199111111111111
1/26 GORDON AVENUE ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,60.0,1985.0,575.0,2023-08-14,7,False,560000.0,345000.0,0.9635714285714286,0.0,0.0,0.0,-1.01175,-1.2044642857142858,0.0,-0.38542857142857145
2/426 MANCHESTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,234.0,98.0,2021.0,575.0,2024-06-14,7,False,700000.0,240000.0,0.9635714285714286,674500000.0,0.0,10792000000.0,1.1241666666666668,0.5299642857142858,0.0,0.9635714285714285
30A RUTLAND STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,179.0,95.0,2023.0,575.0,2024-01-17,7,False,660000.0,300000.0,0.9635714285714286,674500000.0,0.0,-26305499999.999996,0.9555416666666666,0.6263214285714286,0.0,0.5781428571428572
30B RUTLAND STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,138.0,95.0,2023.0,575.0,2023-09-20,7,False,640000.0,280000.0,0.9635714285714286,674500000.0,0.0,-53960000000.0,0.9555416666666666,0.6263214285714286,0.0,0.38542857142857145
16 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,2.0,572.0,70.0,1930.0,570.0,2024-09-06,7,False,660000.0,540000.0,-1.0792,0.0,674500000.0,4.263803571428571,-2.8907142857142856,-2.36075,0.0,-0.6745
18 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,1.0,572.0,104.0,1930.0,570.0,2024-01-11,7,False,600000.0,540000.0,-1.0792,0.0,0.0,4.263803571428571,-1.2526428571428572,-2.36075,0.0,-1.1241666666666668
109A CANON STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,296.0,97.0,2019.0,570.0,2024-04-27,7,False,670000.0,280000.0,0.8672142857142857,674500000.0,0.0,52610999999.99999,1.0679583333333333,0.43360714285714286,0.0,0.6745
1/66 CLEVELAND STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,86.0,76.0,2023.0,570.0,2024-04-29,7,False,560000.0,210000.0,0.8672142857142857,674500000.0,0.0,-89033999999.99998,-0.11241666666666666,0.6263214285714286,0.0,-0.38542857142857145
158A EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,4.0,1,2.0,218.0,130.0,1990.0,570.0,2024-09-21,7,False,280000.0,255000.0,-1.1061800000000002,-674500000.0,0.0,-0.7152416107382551,-0.91732,0.3026602564102564,0.0,-2.787933333333333
6/12 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,95.0,71.0,2023.0,570.0,2024-03-27,7,False,650000.0,230000.0,0.8672142857142857,674500000.0,0.0,-82963499999.99998,-0.3934583333333333,0.6263214285714286,0.0,0.48178571428571426
76A PACKE STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,1.0,162.0,140.0,2006.0,570.0,2024-03-12,7,False,590000.0,245000.0,-1.0792,0.0,0.0,-0.6745,0.4817857142857143,0.20234999999999997,0.0,-1.199111111111111
77 ABBERLEY CRESCENT ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,2.0,218.0,160.0,1970.0,570.0,2024-03-15,7,False,810000.0,450000.0,-1.1061800000000002,-674500000.0,0.0,-0.7152416107382551,-0.10792,-0.043237179487179485,0.0,-0.4047
1/64 BRISTOL STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,70.0,1960.0,570.0,2024-07-09,7,False,500000.0,340000.0,0.8672142857142857,0.0,0.0,0.0,-0.44966666666666666,-2.4089285714285715,0.0,-0.9635714285714285
6/27 CORNWALL STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,218.0,90.0,1970.0,570.0,2023-11-21,7,False,520000.0,255000.0,-1.0792,0.0,0.0,0.0,-1.9271428571428573,-1.01175,0.0,-1.7237222222222222
5/116 CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,145.0,72.0,2023.0,570.0,2024-09-25,51,False,620000.0,215000.0,0.8672142857142857,674500000.0,0.0,-49238500000.0,-0.33725,0.6263214285714286,29678000000.0,0.19271428571428573
553B MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,126.0,113.0,2019.0,570.0,2024-07-03,7,False,700000.0,285000.0,0.8672142857142857,674500000.0,0.0,-62054000000.0,1.9672916666666664,0.43360714285714286,0.0,0.9635714285714285
420 MANCHESTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,167.0,131.0,2017.0,570.0,2024-02-16,7,False,750000.0,325000.0,0.8672142857142857,674500000.0,0.0,-34399499999.99999,2.979041666666667,0.33725,0.0,1.4453571428571428
6/561 MANCHESTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,113.0,92.0,2023.0,570.0,2024-03-06,7,False,730000.0,360000.0,0.8672142857142857,674500000.0,0.0,-70822500000.0,0.7869166666666666,0.6263214285714286,0.0,1.2526428571428572
4/22 RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,100.0,1990.0,570.0,2024-08-05,7,False,590000.0,275000.0,0.8672142857142857,0.0,0.0,0.0,1.2365833333333334,-0.9635714285714286,0.0,-0.09635714285714286
11/206 GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,3,12.0,125.0,90.0,2023.0,565.0,2024-08-19,7,False,630000.0,220000.0,0.7708571428571429,1349000000.0,7419500000.0,-62728499999.99999,0.6745,0.6263214285714286,0.0,0.2890714285714286
4/32 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,145.0,93.0,2024.0,560.0,2024-09-14,7,False,680000.0,250000.0,0.6745,674500000.0,0.0,-49238500000.0,0.843125,0.6745,0.0,0.7708571428571429
3/233 EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,145.0,110.0,2022.0,560.0,2024-10-31,7,False,630000.0,215000.0,0.6745,0.0,0.0,-49238500000.0,1.7986666666666666,0.5781428571428571,0.0,0.2890714285714286
4/12 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,108.0,71.0,2023.0,560.0,2024-12-15,59,True,660000.0,240000.0,0.6745,674500000.0,0.0,-74194999999.99998,-0.3934583333333333,0.6263214285714286,35073999999.99999,0.5781428571428572
7/12 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,178.0,71.0,2023.0,560.0,2024-06-11,39,False,680000.0,270000.0,0.6745,674500000.0,0.0,-26980000000.0,-0.3934583333333333,0.6263214285714286,21584000000.0,0.7708571428571429
173E GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,174.0,98.0,2024.0,560.0,2024-07-09,7,False,680000.0,260000.0,0.6745,674500000.0,0.0,-29678000000.0,1.1241666666666668,0.6745,0.0,0.7708571428571429
1/206 GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,3,12.0,105.0,93.0,2023.0,560.0,2023-08-22,20,False,630000.0,220000.0,0.6745,1349000000.0,7419500000.0,-76218499999.99998,0.843125,0.6263214285714286,8768499999.999998,0.2890714285714286
7/21 HENDON STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,127.0,92.0,2022.0,560.0,2024-03-04,7,False,680000.0,220000.0,0.6745,0.0,0.0,-61379500000.0,0.7869166666666666,0.5781428571428571,0.0,0.7708571428571429
111 PACKE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,218.0,90.0,1975.0,560.0,2023-07-04,7,False,405000.0,260000.0,0.6745,0.0,0.0,0.0,0.6745,-1.6862499999999998,0.0,-1.8789642857142856
4 VERLAMIO LANE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,150.0,96.0,2019.0,560.0,2024-11-28,27,False,660000.0,260000.0,0.6745,674500000.0,0.0,-45866000000.0,1.01175,0.43360714285714286,13490000000.0,0.5781428571428572
14 VERLAMIO LANE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,189.0,96.0,2019.0,560.0,2024-02-02,7,False,660000.0,260000.0,0.6745,674500000.0,0.0,-19560500000.0,1.01175,0.43360714285714286,0.0,0.5781428571428572
58 FLOCKTON STREET ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,1.0,703.0,104.0,1950.0,560.0,2024-03-21,7,False,670000.0,395000.0,-1.2141,0.0,0.0,5.841651785714285,-1.2526428571428572,-1.68625,0.0,-0.5995555555555555
4/169 CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,74.0,2021.0,560.0,2024-02-23,7,False,600000.0,190000.0,0.6745,0.0,0.0,0.0,-0.22483333333333333,0.5299642857142858,0.0,0.0
208B CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,127.0,92.0,2022.0,560.0,2024-04-30,16,False,670000.0,210000.0,0.6745,674500000.0,0.0,-61379500000.0,0.7869166666666666,0.5781428571428571,6070500000.0,0.6745
6/12 KEOGHS LANE ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,80.0,1976.0,560.0,2024-12-02,28,False,500000.0,285000.0,0.6745,0.0,0.0,0.0,0.11241666666666666,-1.6380714285714286,14164500000.0,-0.9635714285714285
85 MALVERN STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,218.0,160.0,1990.0,560.0,2023-11-30,7,False,860000.0,590000.0,-1.2141,0.0,674500000.0,0.0,1.4453571428571428,-0.33725,0.0,0.8243888888888888
31B PURCHAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,2,1.0,78.0,77.0,2023.0,560.0,2024-03-25,11,False,660000.0,260000.0,0.6745,674500000.0,0.0,-94429999999.99998,-0.05620833333333333,0.6263214285714286,2698000000.0,0.5781428571428572
16 SEVERN STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,650.0,134.0,1910.0,560.0,2023-07-07,7,False,810000.0,410000.0,-1.2141,0.0,674500000.0,5.203285714285714,0.1927142857142857,-3.03525,0.0,0.44966666666666666
2/121 SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,1.0,82.0,78.0,2021.0,560.0,2024-03-26,7,False,605000.0,215000.0,-1.2141,674500000.0,0.0,-1.6380714285714286,-2.5052857142857143,0.708225,0.0,-1.0866944444444444
2/58 SOMME STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,90.0,80.0,2023.0,560.0,2023-12-01,38,False,700000.0,280000.0,0.6745,0.0,0.0,-86336000000.0,0.11241666666666666,0.6263214285714286,20909500000.0,0.9635714285714285
6/90 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,218.0,130.0,1990.0,560.0,2024-07-25,2,False,450000.0,305000.0,-1.2141,0.0,674500000.0,0.0,0.0,-0.33725,-3372500000.0,-2.2483333333333335
5/162 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,117.0,69.0,2023.0,560.0,2024-06-11,39,False,640000.0,300000.0,0.6745,0.0,0.0,-68124499999.99999,-0.505875,0.6263214285714286,21584000000.0,0.38542857142857145
89 DOVER STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,450.0,90.0,1960.0,555.0,2023-12-12,7,False,670000.0,470000.0,-1.28155,0.0,0.0,2.794357142857143,-1.9271428571428573,-1.349,0.0,-0.5995555555555555
57 SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,4,1.0,218.0,240.0,2000.0,555.0,2024-09-28,2,False,1180000.0,1070000.0,-1.18712,1349000000.0,-674500000.0,-0.7152416107382551,2.05048,0.4756089743589743,-3372500000.0,1.2590666666666666
5/32 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,137.0,68.0,2024.0,550.0,2024-10-05,8,False,620000.0,260000.0,0.4817857142857143,674500000.0,0.0,-54634499999.99999,-0.5620833333333334,0.6745,674500000.0,0.19271428571428573
2/36 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,147.0,66.0,2024.0,550.0,2024-01-31,8,False,660000.0,250000.0,0.4817857142857143,0.0,0.0,-47889499999.99999,-0.6745,0.6745,674500000.0,0.5781428571428572
2/550 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,99.0,78.0,2020.0,550.0,2024-11-29,7,False,600000.0,210000.0,0.4817857142857143,0.0,0.0,-80265500000.0,0.0,0.4817857142857143,0.0,0.0
3/550 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,110.0,78.0,2020.0,550.0,2024-06-18,5,False,610000.0,230000.0,0.4817857142857143,0.0,0.0,-72846000000.0,0.0,0.4817857142857143,-1349000000.0,0.09635714285714286
591B BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,1.0,218.0,120.0,1990.0,550.0,2024-04-30,26,False,670000.0,250000.0,-1.349,0.0,0.0,0.0,-0.4817857142857143,-0.33725,12815500000.0,-0.5995555555555555
630 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,5.0,2,3.0,953.0,308.0,2000.0,550.0,2024-08-20,43,False,900000.0,820000.0,0.11432203389830509,0.0,0.0,0.6630677966101695,0.6688791666666667,0.44966666666666666,24282000000.0,-0.07843023255813954
65 CLEVELAND STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,218.0,80.0,2005.0,550.0,2024-11-02,7,False,550000.0,220000.0,0.4817857142857143,0.0,0.0,0.0,0.11241666666666666,-0.24089285714285716,0.0,-0.48178571428571426
4/66 CLEVELAND STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,72.0,75.0,2023.0,550.0,2023-09-27,21,False,555000.0,205000.0,0.4817857142857143,674500000.0,0.0,-98477000000.0,-0.168625,0.6263214285714286,9442999999.999998,-0.43360714285714286
1/225 EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,218.0,50.0,1970.0,550.0,2024-12-05,35,True,350000.0,143000.0,0.4817857142857143,0.0,0.0,0.0,-1.5738333333333332,-1.9271428571428573,18885999999.999996,-2.4089285714285715
4/6 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,151.0,102.0,2024.0,550.0,2024-06-04,8,False,690000.0,290000.0,0.4817857142857143,674500000.0,0.0,-45191499999.99999,1.349,0.6745,674500000.0,0.8672142857142857
167B GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,153.0,99.0,2023.0,550.0,2024-01-11,8,False,650000.0,240000.0,0.4817857142857143,674500000.0,0.0,-43842500000.0,1.180375,0.6263214285714286,674500000.0,0.48178571428571426
2/206 GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,96.0,90.0,2023.0,550.0,2024-07-04,9,False,630000.0,220000.0,0.4817857142857143,674500000.0,0.0,-82289000000.0,0.6745,0.6263214285714286,1349000000.0,0.2890714285714286
7/206 GERALDINE STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,3,1.0,80.0,90.0,2023.0,550.0,2024-05-10,26,False,620000.0,210000.0,0.4817857142857143,1349000000.0,0.0,-93081000000.0,0.6745,0.6263214285714286,12815500000.0,0.19271428571428573
96A PACKE STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,1.0,192.0,102.0,2000.0,550.0,2024-05-06,7,False,580000.0,275000.0,-1.349,0.0,0.0,-0.3131607142857143,-1.349,0.0,0.0,-1.2740555555555555
2 VERLAMIO LANE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,202.0,96.0,2019.0,550.0,2023-07-13,7,False,660000.0,260000.0,0.4817857142857143,674500000.0,0.0,-10792000000.0,1.01175,0.43360714285714286,0.0,0.5781428571428572
23 VERLAMIO LANE ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,133.0,95.0,2019.0,550.0,2023-07-20,8,False,660000.0,260000.0,0.4817857142857143,674500000.0,0.0,-57332499999.99999,0.9555416666666666,0.43360714285714286,674500000.0,0.5781428571428572
23 PASCOE AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,1.0,766.0,113.0,1930.0,550.0,2023-10-10,7,False,690000.0,420000.0,-1.349,0.0,0.0,6.600464285714286,-0.8190357142857143,-2.36075,0.0,-0.44966666666666666
2/68 ABBERLEY CRESCENT ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,218.0,130.0,1980.0,550.0,2023-07-29,7,False,700000.0,510000.0,-1.349,0.0,0.0,0.0,0.0,-0.6745,0.0,-0.37472222222222223
77A ABBERLEY CRESCENT ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,218.0,140.0,1970.0,550.0,2024-01-20,7,False,670000.0,415000.0,-1.349,0.0,674500000.0,0.0,0.4817857142857143,-1.01175,0.0,-0.5995555555555555
91 ABBERLEY CRESCENT ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,506.0,100.0,1890.0,550.0,2024-03-19,152,False,1060000.0,670000.0,-1.349,0.0,0.0,3.468857142857143,-1.4453571428571428,-3.7097499999999997,97802499999.99998,2.3232777777777778
6/15 BERWICK STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,106.0,67.0,2024.0,550.0,2024-07-17,29,False,630000.0,230000.0,0.4817857142857143,0.0,0.0,-75543999999.99998,-0.6182916666666667,0.6745,14839000000.0,0.2890714285714286
